"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.133074996E-2,-3.788154602E0,3.506680298E1,-2.179486084E1
2.137474995E-2,-3.830284119E0,3.512408447E1,-2.175006104E1
3.141874995E-2,-3.839744568E0,3.519412231E1,-2.165179443E1
4.146275000E-2,-3.871467590E0,3.510958862E1,-2.174957275E1
5.150674999E-2,-3.791244507E0,3.503186035E1,-2.188818359E1
6.155045831E-2,-3.718353271E0,3.504690552E1,-2.188000488E1
7.159445831E-2,-3.937713623E0,3.518041992E1,-2.167224121E1
8.163845830E-2,-3.832511902E0,3.514773560E1,-2.187036133E1
9.168245830E-2,-3.813583374E0,3.495706177E1,-2.183502197E1
1.017264583E-1,-3.847648621E0,3.486730957E1,-2.182391357E1
1.117704583E-1,-3.895622253E0,3.503521729E1,-2.184191895E1
1.218144583E-1,-3.870414734E0,3.502523804E1,-2.184875488E1
1.318584583E-1,-3.816749573E0,3.501376343E1,-2.169494629E1
1.419024583E-1,-3.701904297E0,3.500265503E1,-2.160009766E1
1.519474583E-1,-3.749725342E0,3.499667358E1,-2.148272705E1
1.619914583E-1,-3.637527466E0,3.493185425E1,-2.164611816E1
1.720354583E-1,-3.614967346E0,3.497460938E1,-2.182873535E1
1.820794583E-1,-3.687225342E0,3.516204834E1,-2.164697266E1
1.921234583E-1,-3.495407104E0,3.499862671E1,-2.149621582E1
2.021674583E-1,-3.518844604E0,3.488238525E1,-2.190490723E1
2.122114583E-1,-3.553680420E0,3.483181763E1,-2.185681152E1
2.222554583E-1,-3.501861572E0,3.489605713E1,-2.200164795E1
2.322994583E-1,-3.452217102E0,3.477767944E1,-2.208331299E1
2.423434583E-1,-3.440040588E0,3.484808350E1,-2.215765381E1
2.523874583E-1,-3.323440552E0,3.478298950E1,-2.213549805E1
2.624314583E-1,-3.303886414E0,3.463629150E1,-2.234393311E1
2.724754583E-1,-3.234207153E0,3.469262695E1,-2.241662598E1
2.825194583E-1,-3.234207153E0,3.454537964E1,-2.251452637E1
2.925634583E-1,-3.228981018E0,3.468457031E1,-2.230096436E1
3.026084583E-1,-3.039451599E0,3.453051758E1,-2.266125488E1
3.126524583E-1,-3.192092896E0,3.448779297E1,-2.266223145E1
3.226964583E-1,-3.110580444E0,3.447808838E1,-2.269635010E1
3.327404583E-1,-3.113113403E0,3.448043823E1,-2.269464111E1
3.427844583E-1,-3.052909851E0,3.460876465E1,-2.274249268E1
3.528284583E-1,-3.123947144E0,3.470126343E1,-2.275622559E1
3.628724583E-1,-3.202278137E0,3.468545532E1,-2.271966553E1
3.729164583E-1,-3.165237427E0,3.489892578E1,-2.257678223E1
3.829604583E-1,-3.267616272E0,3.488629150E1,-2.238427734E1
3.930044583E-1,-3.169921875E0,3.494372559E1,-2.238311768E1
4.030484583E-1,-3.113029480E0,3.515106201E1,-2.212725830E1
4.130924583E-1,-3.048881531E0,3.527703857E1,-2.175787354E1
4.231364583E-1,-3.036117554E0,3.526062012E1,-2.160125732E1
4.331804583E-1,-3.051757812E0,3.537680054E1,-2.127722168E1
4.432244583E-1,-2.912864685E0,3.543307495E1,-2.130725098E1
4.532694583E-1,-2.901031494E0,3.545693970E1,-2.111126709E1
4.633134583E-1,-2.906867981E0,3.560739136E1,-2.104418945E1
