"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.195541630E-3,-4.297712860E0,-8.405919800E0,-5.137316895E-1
1.224054163E-2,-4.314627686E0,-8.380323029E0,-6.259982300E-1
2.228454163E-2,-4.323758698E0,-8.374485168E0,-7.963439941E-1
3.232854162E-2,-4.337230682E0,-8.415948944E0,-8.777746582E-1
4.237254162E-2,-4.431384888E0,-8.524173889E0,-9.765692139E-1
5.241654161E-2,-4.530628510E0,-8.593180389E0,-9.195378113E-1
6.246154162E-2,-4.662055206E0,-8.726852417E0,-9.982740784E-1
7.250554161E-2,-4.659809875E0,-8.747060394E0,-1.050665131E0
8.254954166E-2,-4.589306488E0,-8.697962494E0,-1.035097504E0
9.259354166E-2,-4.534969482E0,-8.642727356E0,-9.560618591E-1
1.026375417E-1,-4.497397614E0,-8.586893463E0,-7.914042664E-1
1.126825417E-1,-4.500092010E0,-8.542735291E0,-6.400689697E-1
1.227265417E-1,-4.447251892E0,-8.459807739E0,-6.081852722E-1
1.327705416E-1,-4.356839905E0,-8.373437347E0,-6.435118103E-1
1.428145416E-1,-4.265080719E0,-8.350235596E0,-6.942562866E-1
1.528585416E-1,-4.213138733E0,-8.397836609E0,-7.340734863E-1
1.629035416E-1,-4.149071960E0,-8.377329254E0,-7.643106079E-1
1.729475416E-1,-4.055815887E0,-8.338110809E0,-7.914042664E-1
1.829915416E-1,-3.940106506E0,-8.244705048E0,-8.487350464E-1
1.930355416E-1,-3.839066620E0,-8.076305237E0,-9.491761780E-1
2.030795416E-1,-3.752097473E0,-7.863298187E0,-1.050216064E0
2.131235416E-1,-3.811374207E0,-7.781268768E0,-1.143771515E0
2.231685416E-1,-3.968996429E0,-7.973020020E0,-1.235830078E0
2.332125416E-1,-4.294270020E0,-8.452922058E0,-1.408570862E0
2.432565417E-1,-4.690496063E0,-8.987011414E0,-1.448837128E0
2.533005417E-1,-5.133574677E0,-9.530381470E0,-1.491348724E0
2.633445417E-1,-5.570965118E0,-1.004396347E1,-1.533860321E0
2.733895417E-1,-5.862409058E0,-1.021011795E1,-1.524579620E0
2.834335417E-1,-5.908513184E0,-9.807754669E0,-1.355730743E0
2.934775417E-1,-5.675447845E0,-8.946445770E0,-1.088536377E0
3.035215416E-1,-5.333858185E0,-8.098459167E0,-7.792794800E-1
3.135654167E-1,-5.285658417E0,-7.754773865E0,-7.363188171E-1
3.236104166E-1,-5.420977020E0,-7.867190094E0,-9.174421692E-1
3.336544167E-1,-5.604495392E0,-8.171806641E0,-1.122665405E0
3.436984167E-1,-5.699996796E0,-8.400830383E0,-1.280587006E0
3.537424167E-1,-5.681285706E0,-8.540340271E0,-1.343156891E0
3.637864167E-1,-5.476212158E0,-8.421337738E0,-1.263971558E0
3.738304166E-1,-5.143154755E0,-8.199499054E0,-1.113235016E0
3.838754166E-1,-4.808750153E0,-8.123756561E0,-1.061891785E0
3.939194166E-1,-4.558171234E0,-8.084238739E0,-1.115480347E0
4.039634166E-1,-4.450095978E0,-8.076903992E0,-1.159638519E0
4.140074166E-1,-4.451742554E0,-8.048463135E0,-1.197809143E0
4.240514166E-1,-4.484524384E0,-8.068820801E0,-1.230890350E0
4.340964166E-1,-4.491260376E0,-8.042625275E0,-1.242266693E0
4.441404166E-1,-4.549638977E0,-7.941585388E0,-1.238374786E0
4.541844166E-1,-4.616699524E0,-7.841443634E0,-1.312021637E0
4.642284166E-1,-4.715045013E0,-7.778125305E0,-1.339264984E0
4.742724166E-1,-4.788991241E0,-7.693102112E0,-1.331481171E0
4.843174166E-1,-4.774621124E0,-7.669002228E0,-1.382225647E0
4.943614166E-1,-4.728067932E0,-7.779173126E0,-1.435814209E0
5.044054167E-1,-4.692292328E0,-7.943830719E0,-1.434916077E0
5.144494167E-1,-4.632566528E0,-8.110583954E0,-1.364113312E0
5.244934167E-1,-4.529431000E0,-8.237519989E0,-1.256487122E0
5.345384167E-1,-4.422403564E0,-8.311765594E0,-1.135239258E0
5.445824167E-1,-4.342020721E0,-8.342451782E0,-1.021475830E0
5.546264166E-1,-4.351301422E0,-8.327033844E0,-8.617579651E-1
5.646704166E-1,-4.369563446E0,-8.314160614E0,-6.740483093E-1
5.747144166E-1,-4.469854889E0,-8.344397736E0,-3.936813354E-1
5.847594166E-1,-4.657414856E0,-8.368347931E0,-9.056167603E-2
5.948034166E-1,-4.860093384E0,-8.322094116E0,1.836680603E-1
6.048474166E-1,-5.106481018E0,-8.223449249E0,4.158352661E-1
6.148914166E-1,-5.396278381E0,-8.098758545E0,7.423063660E-1
6.249354166E-1,-5.644462280E0,-8.075706482E0,9.804611206E-1
6.349804166E-1,-5.731581116E0,-8.168962555E0,6.662644958E-1
6.450244166E-1,-5.806275787E0,-8.314759369E0,-1.990859985E-2
6.550684166E-1,-5.909261627E0,-8.407266998E0,-6.432124329E-1
6.651124167E-1,-5.981710968E0,-8.406817932E0,-1.099313965E0
6.751564167E-1,-6.096522217E0,-8.434660034E0,-1.338217163E0
6.852004167E-1,-6.413413239E0,-8.699609070E0,-1.452878723E0
6.952454167E-1,-6.683302002E0,-8.792565765E0,-1.479673004E0
7.052894167E-1,-6.839277649E0,-8.837472382E0,-1.664089508E0
7.153334167E-1,-7.036866760E0,-8.817414093E0,-1.935175781E0
7.253774166E-1,-7.342531128E0,-9.022038574E0,-2.255958710E0
7.354214166E-1,-7.999664612E0,-9.629026337E0,-2.622845764E0
7.454664166E-1,-8.787925415E0,-1.030606842E1,-2.786305847E0
7.555104166E-1,-9.558373260E0,-1.082339264E1,-2.656376038E0
7.655544166E-1,-1.012015503E1,-1.101499420E1,-2.157164154E0
7.755984166E-1,-1.047416885E1,-1.079480209E1,-1.077609100E0
7.856424166E-1,-1.038196060E1,-9.999505920E0,7.327262878E-1
7.956874166E-1,-1.022972717E1,-9.151219940E0,3.249592438E0
8.057314166E-1,-1.111648315E1,-8.353828125E0,1.587014786E1
8.157754166E-1,-9.345366211E0,-7.417824554E0,1.279015274E1
8.258194166E-1,-7.292385406E0,-7.461982727E0,3.346740417E0
8.358634167E-1,-6.893015900E0,-8.351433105E0,2.361189880E0
8.459084167E-1,-5.258415070E0,-8.371940460E0,-1.444047089E0
8.559524167E-1,-5.046904907E0,-9.360484772E0,-8.836125183E-1
8.659964167E-1,-5.880671082E0,-1.058104660E1,-9.675878906E-1
8.760404167E-1,-6.594985657E0,-1.199785034E1,-2.420466614E0
8.860844166E-1,-6.531517639E0,-1.255723709E1,-2.782863007E0
8.961294167E-1,-6.190077667E0,-1.276470566E1,-2.912194061E0
9.061734166E-1,-6.311026154E0,-1.284448975E1,-2.882256317E0
9.162174166E-1,-6.644083557E0,-1.294642776E1,-1.868564301E0
9.262614166E-1,-6.458020477E0,-1.329370560E1,-1.413360901E0
9.363054166E-1,-5.979615326E0,-1.322694443E1,-1.800006866E0
9.463504166E-1,-5.620512085E0,-1.277832733E1,-2.116897888E0
9.563944166E-1,-5.198240204E0,-1.205084015E1,-3.863465881E-1
9.664384166E-1,-4.736450500E0,-1.113564331E1,2.648442535E0
9.764824166E-1,-4.251908112E0,-1.035022659E1,2.347717896E0
9.865264166E-1,-4.052223358E0,-9.856104126E0,1.249601440E0
9.965704167E-1,-3.923341370E0,-9.751022644E0,-1.088237000E-1
1.006615417E0,-3.857029266E0,-9.604627075E0,-1.667682037E0
1.016659417E0,-3.747457123E0,-9.489067383E0,-2.404749298E0
1.026703417E0,-3.517834625E0,-9.315727844E0,-2.540966034E0
1.036747417E0,-3.416495361E0,-9.047934723E0,-1.850302277E0
1.046791417E0,-3.127895508E0,-8.701854401E0,1.004411316E-1
1.056836417E0,-2.749931488E0,-8.179889832E0,7.212002563E-1
1.066880417E0,-2.548899536E0,-7.737709351E0,1.655557251E-1
1.076924417E0,-2.653831329E0,-7.451354828E0,1.989363098E-1
1.086968417E0,-2.544408875E0,-7.167545013E0,1.616638184E-1
1.097012417E0,-2.306254120E0,-6.837780762E0,1.176553345E-1
1.107057417E0,-2.034868469E0,-6.501579895E0,1.454974365E-1
1.117101417E0,-1.589993591E0,-6.118077393E0,6.331832886E-2
1.127145417E0,-1.074166260E0,-5.837411041E0,-1.306782532E-1
1.137189417E0,-5.075944519E-1,-5.620811462E0,-2.246827698E-1
1.147233417E0,2.185455322E-2,-5.344486084E0,8.547225952E-2
1.157278417E0,4.221221924E-1,-4.979245605E0,4.411326599E-1
1.167322417E0,4.412823486E-1,-4.835843811E0,6.092330933E-1
1.177366417E0,2.595602417E-1,-4.787494354E0,1.658551025E-1
1.187410417E0,9.610015869E-2,-4.723577271E0,-5.852828979E-2
1.197454417E0,-4.924758911E-2,-4.740492096E0,1.411564636E-1
1.207499417E0,-3.918850708E-1,-4.880451050E0,2.987786865E-1
1.217543417E0,-9.265731812E-1,-4.970863037E0,6.738986206E-1
1.227587417E0,-1.680555267E0,-5.080734558E0,1.231040039E0
1.237631417E0,-2.499651947E0,-5.164260864E0,1.639091492E0
1.247675417E0,-3.382216644E0,-5.185666351E0,1.592687988E0
1.257720417E0,-4.406386871E0,-5.269492035E0,1.911075897E0
1.267764417E0,-5.379962311E0,-5.287754059E0,2.619103546E0
1.277808417E0,-6.158942413E0,-5.525609436E0,3.260968781E0
1.287852417E0,-6.869065704E0,-6.125711517E0,3.796555023E0
1.297896417E0,-7.925269318E0,-6.948400726E0,4.216282196E0
1.307941417E0,-9.226064301E0,-7.943082275E0,4.157604218E0
1.317985833E0,-1.088251968E1,-8.600365448E0,4.161196747E0
1.328029833E0,-1.268567001E1,-8.822353821E0,4.924908600E0
1.338073833E0,-1.363275055E1,-8.424930267E0,5.058281250E0
1.348117833E0,-1.381507141E1,-7.578590240E0,4.396058350E0
1.358162833E0,-1.349294128E1,-6.432124329E0,3.083138580E0
1.368206833E0,-1.295301407E1,-5.251828766E0,2.411634979E0
1.378250833E0,-1.273746231E1,-4.670138397E0,2.982547760E0
1.388294833E0,-1.284299286E1,-5.388494568E0,3.739224243E0
1.398338833E0,-1.257759476E1,-8.078400879E0,2.445165253E0
1.408383833E0,-1.171942932E1,-1.118025055E1,1.507215729E0
1.418427833E0,-1.079255676E1,-1.511137573E1,4.053121490E0
1.428471833E0,-9.917626190E0,-1.822265579E1,8.174201660E0
1.438515833E0,-8.814420319E0,-1.755953476E1,7.692503357E0
1.448559833E0,-6.146368561E0,-1.324086548E1,2.374961243E0
1.458603833E0,-1.982627106E0,-8.870852966E0,-3.603306885E0
1.468648833E0,1.077160034E0,-6.722071381E0,-4.214336243E0
1.478692833E0,1.093027039E0,-6.428382111E0,-1.281335449E0
1.488736833E0,7.116201782E-1,-6.289620667E0,6.661148071E-1
1.498780833E0,6.107299805E-2,-6.538553009E0,5.777984619E-2
1.508825833E0,-8.967851257E-1,-7.064409485E0,-1.599873047E0
1.518869833E0,-1.507964172E0,-7.717052307E0,-1.779200134E0
1.528913833E0,-2.251168671E0,-8.546028442E0,-1.915416870E0
1.538957833E0,-2.912194061E0,-9.514664154E0,-2.433788910E0
1.549001833E0,-3.501219177E0,-1.038061340E1,-2.815944214E0
1.559046833E0,-3.865711212E0,-1.066831512E1,-3.014132080E0
1.569090833E0,-3.901337128E0,-1.055799454E1,-3.037932587E0
1.579134833E0,-3.761827240E0,-1.020772293E1,-2.845881958E0
1.589178833E0,-3.757935333E0,-9.750423889E0,-2.328108673E0
1.599222833E0,-3.886517944E0,-9.365574188E0,-1.762285309E0
1.609266833E0,-3.930676117E0,-8.981023865E0,-1.200353851E0
1.619311833E0,-4.009711761E0,-8.571176147E0,-6.996450806E-1
1.629355833E0,-4.200115814E0,-8.286019135E0,-3.445834351E-1
1.639399833E0,-4.459526367E0,-8.197702789E0,-2.252815247E-1
1.649443833E0,-4.617597656E0,-8.139473877E0,-1.601669312E-1
1.659488833E0,-4.725672913E0,-8.107141113E0,-1.416055298E-1
1.669532833E0,-4.687801666E0,-7.886350250E0,-1.691482544E-1
1.679576833E0,-4.605772247E0,-7.531288605E0,-2.706372070E-1
1.689620833E0,-4.614603882E0,-7.254514160E0,-4.231700134E-1
1.699664833E0,-4.589456177E0,-7.066205750E0,-5.051994324E-1
1.709709833E0,-4.458927612E0,-6.914720764E0,-6.099815369E-1
1.719753833E0,-4.503834229E0,-6.971452789E0,-7.095245361E-1
1.729797833E0,-4.706213379E0,-7.040908356E0,-7.899073792E-1
1.739841833E0,-4.865332489E0,-6.898105316E0,-9.071136475E-1
1.749885833E0,-4.991220703E0,-6.989714813E0,-1.109343109E0
1.759929833E0,-5.050347748E0,-7.153324585E0,-1.371148682E0
1.769974833E0,-5.022355957E0,-7.278314667E0,-1.669777679E0
1.780018833E0,-4.884193268E0,-7.282505951E0,-1.729503479E0
1.790062833E0,-4.721331940E0,-7.267088013E0,-1.202000427E-1
1.800106833E0,-4.914430389E0,-7.761509857E0,9.289682007E-1
1.810150833E0,-5.406157837E0,-8.378526764E0,-4.203259277E-1
1.820195833E0,-5.642067261E0,-8.693322144E0,5.463638306E-2
1.830239833E0,-5.828429718E0,-8.797056427E0,6.517746277E0
1.840283833E0,-5.503605194E0,-8.563242645E0,8.471333771E0
1.850327833E0,-5.473517761E0,-8.409212952E0,4.806504822E0
1.860371833E0,-5.405409393E0,-8.212821350E0,1.143472137E0
1.870416833E0,-5.461392975E0,-7.993976440E0,-4.328997803E-1
1.880460833E0,-5.788762207E0,-7.917186127E0,-7.926017761E-1
1.890504833E0,-6.044879608E0,-7.999365234E0,-7.762857056E-1
1.900548833E0,-6.133345642E0,-7.975115662E0,-5.144801331E-1
1.910593833E0,-6.153403931E0,-8.006550293E0,-3.685336304E-1
1.920637833E0,-6.369704132E0,-8.239465942E0,-8.391549683E-1
1.930681833E0,-6.730603638E0,-8.685388641E0,-1.536255341E0
1.940725833E0,-7.146139526E0,-9.144633636E0,-2.031725006E0
1.950769833E0,-7.390730896E0,-9.402996368E0,-2.335892487E0
1.960814833E0,-7.469467163E0,-9.515562286E0,-2.468666382E0
1.970858833E0,-7.555987244E0,-9.548942871E0,-2.347717896E0
1.980902833E0,-7.766449585E0,-9.728569336E0,-2.061363373E0
1.990946833E0,-7.904163208E0,-9.730664978E0,-1.822160797E0
