"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
7.218541636E-3,-4.512713518E0,-8.661739578E0,-9.196588486E-1
1.726254163E-2,-4.512937466E0,-8.662127248E0,-9.149103979E-1
2.730654163E-2,-4.512069447E0,-8.662872183E0,-9.121242727E-1
3.735054162E-2,-4.509884343E0,-8.664124072E0,-9.110592024E-1
4.739454162E-2,-4.505985419E0,-8.665920922E0,-9.132483269E-1
5.743954162E-2,-4.500925823E0,-8.667712508E0,-9.211556628E-1
6.748354161E-2,-4.495846932E0,-8.668893061E0,-9.347491235E-1
7.752754167E-2,-4.490962753E0,-8.669538009E0,-9.520903572E-1
8.757154166E-2,-4.486243173E0,-8.669875978E0,-9.710761202E-1
9.761554166E-2,-4.481568908E0,-8.670001109E0,-9.913248087E-1
1.076595417E-1,-4.477450714E0,-8.669467843E0,-1.014332725E0
1.177045417E-1,-4.474620662E0,-8.667859858E0,-1.040224854E0
1.277485417E-1,-4.473635114E0,-8.665401689E0,-1.064641949E0
1.377925416E-1,-4.474930564E0,-8.662480420E0,-1.082836146E0
1.478365416E-1,-4.477972286E0,-8.659717026E0,-1.092319087E0
1.578805416E-1,-4.482025284E0,-8.657337794E0,-1.094561640E0
1.679255416E-1,-4.485511101E0,-8.655656134E0,-1.093581282E0
1.779695416E-1,-4.486457181E0,-8.655347986E0,-1.092129564E0
1.880135416E-1,-4.483587075E0,-8.656865339E0,-1.091886174E0
1.980575416E-1,-4.475350102E0,-8.660908104E0,-1.093608544E0
2.081015416E-1,-4.461740415E0,-8.667592641E0,-1.096278675E0
2.181465416E-1,-4.443999671E0,-8.676427199E0,-1.098456251E0
2.281905416E-1,-4.423541140E0,-8.686742272E0,-1.099496179E0
2.382345416E-1,-4.401947080E0,-8.697808712E0,-1.098664047E0
2.482785417E-1,-4.380218242E0,-8.709303753E0,-1.094447693E0
2.583225417E-1,-4.358257562E0,-8.721543145E0,-1.084608583E0
2.683675417E-1,-4.335657781E0,-8.734804630E0,-1.068347330E0
2.784115417E-1,-4.312361305E0,-8.748684751E0,-1.048881730E0
2.884555417E-1,-4.289386425E0,-8.761769650E0,-1.033765654E0
2.984995416E-1,-4.267026088E0,-8.773097461E0,-1.030233644E0
3.085435416E-1,-4.245074471E0,-8.782500368E0,-1.040732173E0
3.185874167E-1,-4.224913856E0,-8.789761441E0,-1.061271907E0
3.286324167E-1,-4.206847129E0,-8.795549015E0,-1.084819448E0
3.386764167E-1,-4.189075394E0,-8.801388044E0,-1.106028396E0
3.487204167E-1,-4.171485800E0,-8.807490783E0,-1.123791871E0
3.587644167E-1,-4.157265079E0,-8.811890813E0,-1.141858818E0
3.688084166E-1,-4.147470408E0,-8.813329228E0,-1.166124470E0
3.788534167E-1,-4.140171329E0,-8.812249247E0,-1.199720232E0
3.888974166E-1,-4.133319854E0,-8.809885218E0,-1.240040073E0
3.989414166E-1,-4.125428159E0,-8.807651582E0,-1.281486454E0
4.089854166E-1,-4.116361759E0,-8.806271639E0,-1.319568784E0
4.190294166E-1,-4.107857276E0,-8.805092840E0,-1.353492722E0
4.290744166E-1,-4.099903309E0,-8.803888898E0,-1.385076749E0
4.391184166E-1,-4.090923155E0,-8.803022341E0,-1.416776552E0
4.491624166E-1,-4.078345794E0,-8.803445680E0,-1.450007009E0
4.592064166E-1,-4.060698897E0,-8.805744220E0,-1.485149506E0
4.692504166E-1,-4.038992571E0,-8.809263659E0,-1.523002042E0
4.792954166E-1,-4.013908601E0,-8.813133346E0,-1.566317777E0
4.893394166E-1,-3.984795606E0,-8.817045134E0,-1.617781607E0
4.993834167E-1,-3.952373672E0,-8.820149420E0,-1.679236574E0
5.094274167E-1,-3.917349728E0,-8.821808860E0,-1.751039651E0
5.194714167E-1,-3.879831069E0,-8.821953871E0,-1.831981927E0
5.295154167E-1,-3.840024101E0,-8.820703152E0,-1.919774508E0
5.395604167E-1,-3.798097519E0,-8.818463084E0,-2.011284602E0
5.496044167E-1,-3.755343263E0,-8.815415515E0,-2.102841036E0
5.596484166E-1,-3.712300154E0,-8.812132303E0,-2.191180185E0
5.696924166E-1,-3.669057948E0,-8.809132097E0,-2.274490144E0
5.797364166E-1,-3.625292708E0,-8.806889105E0,-2.352032994E0
5.897814166E-1,-3.580570279E0,-8.805997989E0,-2.422808716E0
5.998254166E-1,-3.535016961E0,-8.807298995E0,-2.484196587E0
6.098694166E-1,-3.489731737E0,-8.811927066E0,-2.531359936E0
6.199134166E-1,-3.446273769E0,-8.820843485E0,-2.559684141E0
6.299574166E-1,-3.403149969E0,-8.834193263E0,-2.571324778E0
6.400024166E-1,-3.358936248E0,-8.851147850E0,-2.571149069E0
6.500464166E-1,-3.315099964E0,-8.870927811E0,-2.559854879E0
