"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.218541636E-3,1.079300642E-1,7.270416617E-2,1.629505679E-2
1.726254163E-2,8.258263022E-2,7.748108357E-2,4.660505336E-3
2.730654163E-2,6.013599411E-2,7.198530436E-2,-7.822956890E-3
3.735054162E-2,3.348973766E-2,6.637375057E-2,-2.759825997E-2
4.739454162E-2,-2.449126681E-3,9.657991678E-2,-4.389948770E-2
5.743954162E-2,-5.854249001E-2,1.299964637E-1,-4.555970058E-2
6.748354161E-2,-1.140228435E-1,1.330095828E-1,-4.300848022E-2
7.752754167E-2,-1.557681561E-1,1.078238040E-1,-4.353259131E-2
8.757154166E-2,-1.839340180E-1,7.565362006E-2,-4.368332773E-2
9.761554166E-2,-2.068979144E-1,7.155074924E-2,-4.403939098E-2
1.076595417E-1,-2.344368249E-1,1.005665213E-1,-3.114923649E-2
1.177045417E-1,-2.418457419E-1,1.142495722E-1,-8.544592187E-3
1.277485417E-1,-2.117033750E-1,8.221134543E-2,1.071692910E-2
1.377925416E-1,-1.500259042E-1,1.840679720E-2,2.868900448E-2
1.478365416E-1,-7.905251533E-2,-3.640445694E-2,3.723943979E-2
1.578805416E-1,-2.507716045E-2,-4.902144894E-2,3.992603719E-2
1.679255416E-1,7.678699214E-3,-2.054710686E-2,2.698406018E-2
1.779695416E-1,2.724148147E-2,2.990035526E-2,-5.519555882E-3
1.880135416E-1,3.046354093E-2,7.386167347E-2,-5.155464262E-2
1.980575416E-1,2.005963586E-2,9.658349305E-2,-1.172319204E-1
2.081015416E-1,1.172931585E-2,7.708173990E-2,-1.724556386E-1
2.181465416E-1,-1.993154176E-3,3.453507647E-2,-2.192550898E-1
2.281905416E-1,-2.233005501E-2,-3.676166385E-2,-2.474026531E-1
2.382345416E-1,-2.891392261E-2,-1.058834791E-1,-2.644807100E-1
2.482785417E-1,-1.136054564E-2,-1.734728813E-1,-2.685959041E-1
2.583225417E-1,2.573782019E-2,-2.476855963E-1,-2.854097784E-1
2.683675417E-1,6.768602878E-2,-2.998175323E-1,-2.986620665E-1
2.784115417E-1,8.472093195E-2,-2.655543685E-1,-2.998727262E-1
2.884555417E-1,5.867233127E-2,-1.234591976E-1,-2.699426115E-1
2.984995416E-1,1.642021537E-2,1.188370585E-1,-2.398688644E-1
3.085435416E-1,-1.860521175E-2,3.551068306E-1,-2.001610100E-1
3.185874167E-1,-3.131408244E-2,4.873487651E-1,-1.550164372E-1
3.286324167E-1,-2.334983833E-2,4.954323173E-1,-1.368103325E-1
3.386764167E-1,-1.767330989E-2,4.214004278E-1,-1.526449621E-1
3.487204167E-1,-3.382410109E-2,3.295160830E-1,-1.442246735E-1
3.587644167E-1,-9.614420682E-2,2.810260355E-1,-9.751920402E-2
3.688084166E-1,-1.889182329E-1,2.896494269E-1,-5.303348228E-2
3.788534167E-1,-2.822836041E-1,3.129163980E-1,-3.450400755E-2
3.888974166E-1,-3.367078304E-1,2.938653231E-1,-3.994257376E-2
3.989414166E-1,-3.496510386E-1,2.228361368E-1,-6.659096479E-2
4.089854166E-1,-3.406562805E-1,1.398262233E-1,-8.211354911E-2
4.190294166E-1,-3.318534791E-1,7.111853361E-2,-8.034946769E-2
4.290744166E-1,-3.314673901E-1,4.495115206E-2,-8.311852813E-2
4.391184166E-1,-3.363841176E-1,6.287582964E-2,-1.065633968E-1
4.491624166E-1,-3.452095389E-1,8.983993530E-2,-1.571070105E-1
4.592064166E-1,-3.529585302E-1,1.184894219E-1,-2.058591098E-1
4.692504166E-1,-3.744823337E-1,1.730764061E-1,-2.323787510E-1
4.792954166E-1,-4.251561761E-1,2.329264283E-1,-2.663284540E-1
4.893394166E-1,-5.056178570E-1,2.833644152E-1,-2.959451377E-1
4.993834167E-1,-6.097743511E-1,3.205983341E-1,-3.217184246E-1
5.094274167E-1,-7.223449945E-1,3.235389590E-1,-3.454150558E-1
5.194714167E-1,-8.269736767E-1,2.958585918E-1,-3.753604293E-1
5.295154167E-1,-9.119268060E-1,2.494358718E-1,-4.097984433E-1
5.395604167E-1,-9.573113322E-1,1.927318573E-1,-4.367488623E-1
5.496044167E-1,-9.607796073E-1,1.425920278E-1,-4.519901574E-1
