"Time (s)","X (µT)","Y (µT)","Z (µT)"
7.218541636E-3,1.332923889E0,3.587594604E1,-2.289611816E1
1.726254163E-2,1.295982361E0,3.580310059E1,-2.290222168E1
2.730654163E-2,1.329353333E0,3.583963013E1,-2.293371582E1
3.735054162E-2,1.325508118E0,3.594900513E1,-2.295867920E1
4.739454162E-2,1.304290771E0,3.595111084E1,-2.308581543E1
5.743954162E-2,1.304290771E0,3.595111084E1,-2.308581543E1
6.748354161E-2,1.246780396E0,3.607910156E1,-2.318103027E1
7.752754167E-2,1.397827148E0,3.596963501E1,-2.301928711E1
8.757154166E-2,1.395614624E0,3.604071045E1,-2.271282959E1
9.761554166E-2,1.418724060E0,3.614453125E1,-2.281512451E1
1.076595417E-1,1.443542480E0,3.612197876E1,-2.300927734E1
1.177045417E-1,1.423515320E0,3.623864746E1,-2.294537354E1
1.277485417E-1,1.485084534E0,3.624862671E1,-2.284179688E1
1.377925416E-1,1.386856079E0,3.633209229E1,-2.285791016E1
1.478365416E-1,1.523414612E0,3.630923462E1,-2.257824707E1
1.578805416E-1,1.516304016E0,3.615029907E1,-2.252722168E1
1.679255416E-1,1.560050964E0,3.634158325E1,-2.241650391E1
1.779695416E-1,1.465797424E0,3.634481812E1,-2.244702148E1
1.880135416E-1,1.437149048E0,3.634420776E1,-2.265997314E1
1.980575416E-1,1.406341553E0,3.625106812E1,-2.239373779E1
2.081015416E-1,1.388381958E0,3.617520142E1,-2.247290039E1
2.181465416E-1,1.337623596E0,3.620895386E1,-2.247662354E1
2.281905416E-1,1.269546509E0,3.624575806E1,-2.264233398E1
2.382345416E-1,1.237693787E0,3.630993652E1,-2.257708740E1
2.482785417E-1,1.035476685E0,3.649731445E1,-2.268975830E1
2.583225417E-1,9.348068237E-1,3.647161865E1,-2.268920898E1
2.683675417E-1,8.238601685E-1,3.640921021E1,-2.274304199E1
2.784115417E-1,7.113952637E-1,3.621542358E1,-2.276257324E1
2.884555417E-1,5.625305176E-1,3.615209961E1,-2.265551758E1
2.984995416E-1,1.716156006E-1,3.629135132E1,-2.285260010E1
3.085435416E-1,1.317749023E-1,3.637344360E1,-2.296923828E1
3.185874167E-1,1.959304810E-1,3.637429810E1,-2.275555420E1
3.286324167E-1,1.460266113E-1,3.642181396E1,-2.251971436E1
3.386764167E-1,3.189163208E-1,3.635565186E1,-2.243023682E1
3.487204167E-1,3.906631470E-1,3.635247803E1,-2.236669922E1
3.587644167E-1,4.084243774E-1,3.622763062E1,-2.239404297E1
3.688084166E-1,5.567169189E-1,3.623742676E1,-2.228826904E1
3.788534167E-1,5.856628418E-1,3.615631104E1,-2.232611084E1
3.888974166E-1,6.123123169E-1,3.632772827E1,-2.226812744E1
3.989414166E-1,5.710830688E-1,3.639108276E1,-2.181835938E1
4.089854166E-1,6.698303223E-1,3.646356201E1,-2.183886719E1
4.190294166E-1,4.974822998E-1,3.668359375E1,-2.171051025E1
4.290744166E-1,5.366516113E-1,3.672708130E1,-2.149890137E1
4.391184166E-1,6.944503784E-1,3.657794189E1,-2.143652344E1
4.491624166E-1,6.333236694E-1,3.653158569E1,-2.107775879E1
4.592064166E-1,6.020355225E-1,3.669073486E1,-2.128338623E1
4.692504166E-1,4.164123535E-1,3.677072144E1,-2.074578857E1
4.792954166E-1,4.063568115E-1,3.688098145E1,-2.072430420E1
4.893394166E-1,4.221878052E-1,3.704965210E1,-2.064788818E1
4.993834167E-1,3.418426514E-1,3.711553955E1,-2.047430420E1
5.094274167E-1,2.052307129E-1,3.730953979E1,-2.021234131E1
5.194714167E-1,1.749420166E-2,3.731900024E1,-1.997509766E1
5.295154167E-1,-8.708190918E-2,3.751821899E1,-1.962310791E1
5.395604167E-1,-8.835601807E-2,3.768270874E1,-1.934735107E1
