"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
7.218541636E-3,3.280878222E-1,-2.129621250E-2,7.392022807E-1,-5.877795489E-1,1.416944898E2,-9.606066436E1,2.738785451E1,-1.519765219E2
1.726254163E-2,3.278435074E-1,-2.087280526E-2,7.390506363E-1,-5.881217287E-1,1.417241253E2,-9.602933468E1,2.738932761E1,-1.520269252E2
2.730654163E-2,3.275669504E-1,-2.054254255E-2,7.389638138E-1,-5.883964313E-1,1.417576687E2,-9.601059546E1,2.738361841E1,-1.520750255E2
3.735054162E-2,3.272652421E-1,-2.032839441E-2,7.389330045E-1,-5.886105583E-1,1.417942588E2,-9.600276696E1,2.736924510E1,-1.521178674E2
4.739454162E-2,3.268684612E-1,-2.020734867E-2,7.390118191E-1,-5.887361665E-1,1.418423727E2,-9.601584652E1,2.734360589E1,-1.521657843E2
5.743954162E-2,3.263002057E-1,-2.008592359E-2,7.392877545E-1,-5.887090555E-1,1.419112676E2,-9.606630276E1,2.731034319E1,-1.522371903E2
6.748354161E-2,3.256624080E-1,-1.999320053E-2,7.397587034E-1,-5.884737391E-1,1.419885768E2,-9.615430928E1,2.727696459E1,-1.523207126E2
7.752754167E-2,3.250676422E-1,-2.001250378E-2,7.403553342E-1,-5.880515015E-1,1.420606538E2,-9.626711924E1,2.724487291E1,-1.523964655E2
8.757154166E-2,3.245778221E-1,-2.018184982E-2,7.410039742E-1,-5.874990301E-1,1.421200011E2,-9.639082195E1,2.721387366E1,-1.524526139E2
9.761554166E-2,3.241580290E-1,-2.046027190E-2,7.416924008E-1,-5.868520865E-1,1.421708555E2,-9.652285158E1,2.718317875E1,-1.524951110E2
1.076595417E-1,3.237128107E-1,-2.071382734E-2,7.424754892E-1,-5.860982269E-1,1.422247815E2,-9.667329889E1,2.715614234E1,-1.525460327E2
1.177045417E-1,3.232182596E-1,-2.085147895E-2,7.433598144E-1,-5.852446689E-1,1.422846726E2,-9.684330580E1,2.713756726E1,-1.526155422E2
1.277485417E-1,3.228186443E-1,-2.092026261E-2,7.441944906E-1,-5.844012894E-1,1.423330591E2,-9.700432767E1,2.713110070E1,-1.526806786E2
1.377925416E-1,3.226703716E-1,-2.098685463E-2,7.448153980E-1,-5.836895134E-1,1.423510105E2,-9.712518609E1,2.713960253E1,-1.527152104E2
1.478365416E-1,3.228010269E-1,-2.108345521E-2,7.451370627E-1,-5.832029702E-1,1.423351921E2,-9.718920482E1,2.715956627E1,-1.527102227E2
1.578805416E-1,3.230882050E-1,-2.114697051E-2,7.452119577E-1,-5.829459692E-1,1.423004207E2,-9.720576879E1,2.718617501E1,-1.526838460E2
1.679255416E-1,3.233274305E-1,-2.113289346E-2,7.451788302E-1,-5.828561964E-1,1.422714528E2,-9.720076639E1,2.720906484E1,-1.526633774E2
1.779695416E-1,3.233453850E-1,-2.104501728E-2,7.451316679E-1,-5.829096386E-1,1.422692785E2,-9.719156072E1,2.721527867E1,-1.526673382E2
1.880135416E-1,3.230710933E-1,-2.093657344E-2,7.451263996E-1,-5.830723255E-1,1.423024927E2,-9.718872780E1,2.719643128E1,-1.526996396E2
1.980575416E-1,3.225015314E-1,-2.095246280E-2,7.451848572E-1,-5.833122148E-1,1.423714509E2,-9.719662303E1,2.714235512E1,-1.527489647E2
2.081015416E-1,3.217440998E-1,-2.120938999E-2,7.452688981E-1,-5.836139546E-1,1.424631330E2,-9.720850428E1,2.705306699E1,-1.527944189E2
2.181465416E-1,3.209480196E-1,-2.176155585E-2,7.453274400E-1,-5.839571248E-1,1.425594664E2,-9.721539538E1,2.693678071E1,-1.528164254E2
2.281905416E-1,3.202629542E-1,-2.266472067E-2,7.453360801E-1,-5.842876509E-1,1.426423440E2,-9.721366875E1,2.680283061E1,-1.527965270E2
2.382345416E-1,3.197755996E-1,-2.387804414E-2,7.452697410E-1,-5.845907395E-1,1.427012907E2,-9.719919103E1,2.666161508E1,-1.527299669E2
2.482785417E-1,3.195124031E-1,-2.531799122E-2,7.450780150E-1,-5.849184207E-1,1.427331207E2,-9.716248400E1,2.651969509E1,-1.526196766E2
2.583225417E-1,3.194861140E-1,-2.696230837E-2,7.446836891E-1,-5.853612892E-1,1.427362998E2,-9.708889207E1,2.637643920E1,-1.524633414E2
2.683675417E-1,3.196696109E-1,-2.879219809E-2,7.440584406E-1,-5.859688044E-1,1.427141089E2,-9.697316895E1,2.622920088E1,-1.522639109E2
2.784115417E-1,3.198790596E-1,-3.064177039E-2,7.433174990E-1,-5.867005791E-1,1.426887778E2,-9.683657242E1,2.607761705E1,-1.520562998E2
2.884555417E-1,3.198030794E-1,-3.218497725E-2,7.427338073E-1,-5.873982253E-1,1.426979672E2,-9.672898767E1,2.592831710E1,-1.519063168E2
