"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.142416673E-3,-5.476361847E0,-8.275989990E0,-6.876699829E-1
8.901583322E-3,-5.534590759E0,-8.125852203E0,-6.713539124E-1
1.894658332E-2,-5.586682434E0,-8.015082550E0,-5.831872559E-1
2.899058332E-2,-5.722899170E0,-7.912845154E0,-3.775149536E-1
3.903458331E-2,-5.943091278E0,-7.814649353E0,1.017883301E-2
4.907858331E-2,-6.291716309E0,-7.805817719E0,6.364764404E-1
5.912258330E-2,-6.593488770E0,-7.842042389E0,1.419049072E0
6.916758331E-2,-6.890171814E0,-7.874824219E0,2.160756683E0
7.921133336E-2,-7.158713379E0,-7.899373169E0,2.690954132E0
8.925533335E-2,-7.286846924E0,-7.950716400E0,2.841241608E0
9.929933335E-2,-7.386240234E0,-7.912994843E0,2.616708527E0
1.093433333E-1,-7.240593109E0,-7.727979584E0,2.387385406E0
1.193883333E-1,-7.018305359E0,-7.404352570E0,2.467768250E0
1.294323333E-1,-6.899901581E0,-7.216044159E0,2.566263428E0
1.394763333E-1,-6.506220245E0,-7.030130768E0,1.963916016E0
1.495203333E-1,-6.211333466E0,-7.073091431E0,9.357041931E-1
1.595653333E-1,-6.221063232E0,-7.309599609E0,8.592132568E-2
1.696093333E-1,-6.740782471E0,-7.830516357E0,1.124162292E-1
1.796533333E-1,-7.978408813E0,-8.729097748E0,1.198258209E0
1.896973333E-1,-9.725725250E0,-9.584718475E0,3.703897705E0
1.997413333E-1,-1.088656128E1,-9.674531708E0,6.219117279E0
2.097863333E-1,-1.137394775E1,-9.732461243E0,6.470893707E0
2.198303333E-1,-1.025891647E1,-9.976304169E0,4.799469452E0
2.298743333E-1,-8.871751099E0,-1.002061203E1,4.757107544E-1
2.399183333E-1,-8.590485992E0,-1.019784348E1,-2.824326782E0
2.499623334E-1,-9.187893677E0,-1.076501404E1,-3.415297852E0
2.600073333E-1,-9.906549225E0,-1.113235016E1,-1.955533447E0
2.700513334E-1,-9.779014435E0,-1.091111023E1,-3.397933960E-2
2.800953333E-1,-9.235943756E0,-1.041998154E1,4.601431274E-1
2.901393333E-1,-8.932973785E0,-9.964329071E0,7.605683899E-1
3.001833333E-1,-8.244106293E0,-9.566007385E0,1.397942963E0
3.102283333E-1,-7.270979919E0,-9.227261810E0,1.642684021E0
3.202723333E-1,-6.600823517E0,-8.903934174E0,1.321002960E0
3.303163333E-1,-5.958060150E0,-8.307125244E0,1.372196503E0
3.403603333E-1,-5.440885620E0,-7.257208557E0,1.309177551E0
3.504053333E-1,-5.161117401E0,-6.397995300E0,1.137933655E0
3.604493333E-1,-4.987777863E0,-6.023773499E0,7.460485840E-1
3.704933333E-1,-4.716242523E0,-5.929768982E0,5.996530151E-1
3.805373333E-1,-4.397405548E0,-5.796845398E0,7.762857056E-1
3.905813333E-1,-3.879482574E0,-5.443430328E0,7.731422424E-1
4.006263333E-1,-3.163371735E0,-4.813839569E0,6.538403320E-1
4.106703333E-1,-2.536774750E0,-4.145180054E0,5.170248413E-1
4.207143333E-1,-2.135309601E0,-3.616778870E0,7.188052368E-1
4.307583334E-1,-1.693578186E0,-3.298390961E0,9.990225220E-1
4.408023334E-1,-1.261576538E0,-3.102897491E0,1.276246033E0
4.508473334E-1,-1.134191437E0,-3.076402588E0,1.384321289E0
4.608913334E-1,-1.387913818E0,-3.196153564E0,1.618733826E0
4.709353333E-1,-1.989812164E0,-3.384611664E0,1.782343597E0
4.809793333E-1,-2.627935181E0,-3.622317352E0,1.704954529E0
4.910233333E-1,-3.207230530E0,-3.875141602E0,1.594035187E0
5.010683333E-1,-3.603905640E0,-4.087549896E0,1.630559235E0
5.111123333E-1,-3.774251404E0,-4.333039398E0,1.571731567E0
5.211563333E-1,-3.837270355E0,-4.614603882E0,1.513802032E0
5.312003333E-1,-4.078718262E0,-5.001249847E0,1.850601654E0
5.412453333E-1,-4.506378937E0,-5.235063629E0,2.425855408E0
5.512893333E-1,-5.114115143E0,-5.278473358E0,2.745590515E0
5.613333333E-1,-5.844596100E0,-5.272785187E0,3.042722626E0
5.713773333E-1,-6.712042236E0,-5.230722656E0,3.212020569E0
5.814213333E-1,-7.750881958E0,-5.046156464E0,3.241808624E0
5.914663333E-1,-8.834927673E0,-4.969665527E0,2.960992584E0
6.015103333E-1,-9.679321747E0,-4.950505371E0,2.863245850E0
6.115543334E-1,-1.039797729E1,-4.927902374E0,2.752925262E0
6.215983334E-1,-1.108310257E1,-4.949158173E0,2.692301331E0
6.316423333E-1,-1.144759460E1,-4.826263733E0,2.713856506E0
6.416873334E-1,-1.108564728E1,-4.370760956E0,2.550546112E0
6.517313333E-1,-1.068373306E1,-4.268224182E0,2.722987518E0
6.617753333E-1,-1.008168503E1,-4.468058624E0,2.907104645E0
6.718193333E-1,-9.225166168E0,-4.917573853E0,2.815944214E0
6.818643333E-1,-8.420589294E0,-5.520070953E0,2.374961243E0
6.919083333E-1,-7.838150482E0,-6.027216339E0,2.073937225E0
7.019523333E-1,-7.548802185E0,-6.519841919E0,2.315085754E0
7.119963333E-1,-7.676636353E0,-7.572003937E0,3.416195984E0
7.220403333E-1,-8.985664215E0,-9.565109253E0,5.928272095E0
7.320853333E-1,-1.199650314E1,-1.239931549E1,1.005803421E1
7.421293333E-1,-1.432595901E1,-1.536629562E1,1.175056458E1
7.521733333E-1,-1.587628510E1,-1.793914536E1,7.248975677E0
7.622173333E-1,-1.631801651E1,-1.711510895E1,1.875000916E0
7.722613333E-1,-1.218720657E1,-1.148980682E1,-8.291258240E-1
7.823063333E-1,-6.149212646E0,-6.580465851E0,-2.851420441E0
7.923503334E-1,-1.239721985E0,-4.286336517E0,-4.583618317E0
8.023943334E-1,2.098336487E0,-3.183430023E0,-3.950734406E0
8.124383333E-1,4.492308197E0,-3.972139893E0,1.906136169E0
8.224833334E-1,3.876339111E0,-5.966592407E0,4.317172394E0
8.325273333E-1,-1.030157776E0,-8.581205292E0,-2.654130707E0
8.425713333E-1,-3.357817383E0,-1.037836807E1,-5.490432587E0
8.526153333E-1,-3.762276306E0,-1.149564468E1,-4.193679199E0
8.626593333E-1,-3.878584442E0,-1.153920410E1,-3.338507538E0
8.727043333E-1,-3.520828400E0,-1.093296478E1,-2.641706543E0
8.827483333E-1,-3.347937927E0,-1.009545639E1,-2.530188446E0
8.927923333E-1,-3.495231628E0,-9.379195862E0,-2.626587982E0
9.028363333E-1,-3.678899689E0,-8.851992188E0,-2.421813812E0
9.128803333E-1,-3.937412109E0,-8.521180115E0,-2.052980804E0
9.229253333E-1,-4.279301147E0,-8.260871429E0,-1.497935028E0
9.329693333E-1,-4.563260651E0,-8.052205353E0,-9.430389404E-1
9.430133333E-1,-4.807402954E0,-7.841293945E0,-1.031355286E-1
9.530573333E-1,-4.611161041E0,-7.383396149E0,1.848506012E0
9.631013334E-1,-4.639152832E0,-7.663613434E0,1.586550751E0
9.731463334E-1,-5.347030792E0,-8.477920074E0,-4.785548401E-1
9.831903334E-1,-5.805677032E0,-8.948541412E0,-9.743238831E-1
9.932343333E-1,-5.913003845E0,-9.120833130E0,-8.731343079E-1
1.003278333E0,-5.674549713E0,-9.091793518E0,-5.300477600E-1
1.013323333E0,-5.160518646E0,-8.613388367E0,3.661386108E-1
1.023367333E0,-4.728966064E0,-8.043673096E0,9.228309631E-1
1.033411333E0,-4.605323181E0,-7.891289978E0,1.114582214E0
1.043455333E0,-4.547393646E0,-7.801626434E0,1.303489380E0
1.053499333E0,-4.749473419E0,-7.657775574E0,1.013692017E0
1.063544333E0,-5.029840393E0,-7.603139191E0,5.321434021E-1
1.073589333E0,-5.235512695E0,-7.520660706E0,1.383123779E-1
1.083633333E0,-5.284760284E0,-7.349117432E0,-1.347198486E-1
1.093677333E0,-5.311554565E0,-7.480993195E0,-5.647755432E-1
1.103721333E0,-5.553451538E0,-7.808362427E0,-1.071172485E0
1.113766333E0,-5.839806061E0,-8.089178467E0,-1.565594330E0
1.123810333E0,-6.011648712E0,-8.206235046E0,-1.933080139E0
1.133854333E0,-6.009104004E0,-8.083490295E0,-1.980980530E0
1.143898333E0,-5.884712677E0,-7.765401764E0,-1.767823792E0
1.153943333E0,-5.660329285E0,-7.473359070E0,-1.596879272E0
1.163987333E0,-5.585784302E0,-7.551795959E0,-1.426084442E0
1.174031333E0,-5.620212708E0,-7.748786316E0,-1.308878174E0
1.184075333E0,-5.698948975E0,-7.742798767E0,-1.268013153E0
1.194119333E0,-5.647456055E0,-7.609575806E0,-1.222956848E0
1.204164333E0,-5.477709045E0,-7.448959808E0,-1.099313965E0
1.214208333E0,-5.242997131E0,-7.220834198E0,-8.352630615E-1
1.224252333E0,-4.903652802E0,-7.091802521E0,-5.207670593E-1
1.234296333E0,-4.533173218E0,-7.001091156E0,-2.493814087E-1
1.244341333E0,-4.133803711E0,-6.996750183E0,-2.444416809E-1
1.254385333E0,-3.875590668E0,-6.942263489E0,-4.993615723E-1
1.264429333E0,-3.956123199E0,-7.060517578E0,-8.675958252E-1
1.274473333E0,-4.058210907E0,-7.275620270E0,-1.114881592E0
1.284517333E0,-4.143234100E0,-7.600444794E0,-1.256786499E0
1.294562333E0,-4.317172394E0,-7.937992859E0,-1.342857513E0
1.304606333E0,-4.460574188E0,-8.315208435E0,-1.345551910E0
1.314650333E0,-4.655019836E0,-8.702303467E0,-1.282982025E0
1.324694333E0,-4.873265991E0,-9.098379822E0,-1.202150116E0
1.334738333E0,-4.710254974E0,-8.982520752E0,-9.839039612E-1
1.344783333E0,-4.554728394E0,-8.816066895E0,-8.792715454E-1
1.354827333E0,-4.703818359E0,-8.885522461E0,-9.677375793E-1
1.364871333E0,-4.970264282E0,-9.000333710E0,-1.085692291E0
1.374915333E0,-5.182073822E0,-9.097631378E0,-1.095571747E0
1.384960333E0,-5.451214142E0,-9.337732086E0,-8.738827515E-1
1.395004333E0,-5.772446136E0,-9.523346100E0,-3.704795837E-1
1.405048333E0,-6.400240631E0,-9.737550659E0,1.369651794E-1
1.415092333E0,-7.527696075E0,-1.018018021E1,1.237925720E-1
1.425136333E0,-8.802894287E0,-1.074944641E1,-3.631448364E-1
1.435181333E0,-9.872270508E0,-1.110390930E1,-7.942483521E-1
1.445225333E0,-1.080168777E1,-1.107591751E1,1.047821045E-2
1.455269333E0,-1.210023743E1,-1.061921722E1,4.593048706E0
1.465313333E0,-1.413166306E1,-1.013647110E1,1.207688599E1
1.475357333E0,-1.340163116E1,-9.852361908E0,9.438472595E0
1.485402333E0,-1.029020142E1,-9.361382904E0,2.247127075E0
1.495446333E0,-7.656428375E0,-9.048084412E0,5.556445312E-1
1.505490333E0,-5.657335510E0,-9.037606201E0,-5.156776428E-1
1.515534333E0,-4.740791473E0,-8.832532654E0,-3.261567535E0
1.525579333E0,-4.673281860E0,-9.398206329E0,-4.133803711E0
1.535623333E0,-5.884862366E0,-1.128772705E1,-3.376378784E0
1.545667333E0,-6.351591797E0,-1.290241928E1,-2.074835358E0
1.555711333E0,-6.520740051E0,-1.384276382E1,-1.938019867E0
1.565755333E0,-6.722969513E0,-1.450393890E1,-2.078876953E0
1.575800333E0,-6.854246521E0,-1.512230301E1,-1.686393127E0
1.585844333E0,-7.017107849E0,-1.546808395E1,-1.151854706E0
1.595888333E0,-6.717281342E0,-1.507574982E1,-1.475032654E0
1.605932333E0,-5.737868042E0,-1.330957260E1,-1.131347351E0
1.615977333E0,-5.580694885E0,-1.178020294E1,2.544708252E-3
1.626021333E0,-5.463787994E0,-1.086530548E1,2.466870117E-1
1.636065333E0,-4.712200928E0,-1.018990997E1,-1.122665405E-2
1.646109333E0,-4.159699860E0,-9.785301361E0,-8.822653198E-1
1.656153333E0,-3.942052460E0,-9.467661896E0,-1.974543915E0
1.666198333E0,-3.838318176E0,-9.151519318E0,-2.590063934E0
1.676242333E0,-3.720812531E0,-8.883875885E0,-2.735561371E0
1.686286333E0,-3.592229919E0,-8.441845093E0,-2.330503693E0
1.696330333E0,-3.569177856E0,-7.997568970E0,-1.611698456E0
1.706375333E0,-3.519930267E0,-7.597301331E0,-9.587562561E-1
1.716419333E0,-3.288511505E0,-7.372917938E0,-5.766009521E-1
1.726463333E0,-2.876119080E0,-7.174730072E0,-4.845423889E-1
1.736507333E0,-2.199675751E0,-6.902146912E0,-2.502795410E-1
1.746551333E0,-1.388362885E0,-6.657106476E0,1.661544800E-1
1.756596333E0,-7.045848083E-1,-6.327491913E0,2.492317200E-1
1.766640333E0,-3.562591553E-2,-5.957611084E0,2.604583740E-1
1.776684333E0,5.656736755E-1,-5.628744965E0,7.334747314E-2
1.786728333E0,1.093775482E0,-5.279371490E0,-2.924917603E-1
1.796772333E0,1.341660004E0,-4.987777863E0,-8.276289368E-1
1.806817333E0,1.574725342E0,-4.679269409E0,-9.406439209E-1
1.816861333E0,1.786834259E0,-4.594545593E0,-6.023474121E-1
1.826905333E0,1.603914642E0,-4.579127655E0,-5.155279541E-1
1.836949333E0,1.370549927E0,-4.553680573E0,-6.767427063E-1
1.846994333E0,1.216819611E0,-4.671186218E0,-1.277443542E0
1.857038333E0,1.175804901E0,-4.664599915E0,-1.410666504E0
1.867082333E0,1.000220032E0,-4.555027771E0,-3.541635132E-1
1.877126333E0,7.253915405E-1,-4.779411163E0,6.629713440E-1
1.887171333E0,-2.812651062E-1,-5.184319153E0,5.553451538E-1
1.897215333E0,-1.645827484E0,-5.631888428E0,7.339237976E-1
1.907259333E0,-3.271297302E0,-6.442752228E0,1.234333191E0
1.917303333E0,-5.661975861E0,-7.458988953E0,2.544109497E0
1.927347333E0,-8.543783112E0,-8.415499878E0,5.191953278E0
1.937392333E0,-1.041534119E1,-9.211993561E0,5.561834106E0
1.947436333E0,-1.149893784E1,-9.943073273E0,5.402116241E0
1.957480333E0,-1.359996872E1,-1.091365494E1,6.474186859E0
1.967524333E0,-1.585907089E1,-1.109896957E1,5.099595337E0
1.977568333E0,-1.672516983E1,-1.014126114E1,2.611319733E0
1.987613333E0,-1.709280533E1,-8.689130859E0,1.288370819E0
1.997657333E0,-1.707978241E1,-6.817273407E0,2.138602753E0
2.007701333E0,-1.603510483E1,-5.098846893E0,3.501817932E0
2.017745333E0,-1.462728241E1,-5.378315735E0,4.215234375E-1
2.027790333E0,-1.428449524E1,-8.417595520E0,-2.479743347E0
2.037834333E0,-1.394664780E1,-1.279778687E1,-6.312373352E-1
2.047878333E0,-1.355625961E1,-1.615126328E1,6.589297485E-1
2.057922333E0,-1.255783585E1,-1.593361588E1,8.484356689E-1
2.067966333E0,-9.980645142E0,-1.302576279E1,-1.097218323E-1
2.078010625E0,-5.646108856E0,-9.550739136E0,-1.779948578E0
2.088054625E0,-1.269360352E0,-7.279063110E0,2.871478729E0
2.098098625E0,2.108814697E0,-6.581813049E0,7.668852539E0
2.108142625E0,4.376898193E0,-4.898563385E0,5.445226593E0
2.118187625E0,3.915557556E0,-4.489464111E0,1.412462769E0
2.128231625E0,1.598525848E0,-5.439089355E0,-2.388283539E0
2.138275625E0,-4.152365112E-1,-7.155569916E0,-3.480562134E0
2.148319625E0,-1.405427399E0,-9.334588623E0,-3.283721466E0
2.158364625E0,-2.046993256E0,-1.122036713E1,-3.356320496E0
2.168408625E0,-2.417173462E0,-1.246922012E1,-3.395688629E0
2.178452625E0,-2.621648254E0,-1.320239548E1,-3.263214111E0
2.188496625E0,-2.393971710E0,-1.303579193E1,-3.096909943E0
2.198540625E0,-1.794019318E0,-1.174308014E1,-2.967279510E0
2.208585625E0,-1.201401672E0,-1.001597168E1,-2.514321442E0
2.218629625E0,-1.021775208E0,-8.809181213E0,-2.002984772E0
2.228673625E0,-1.302740936E0,-8.427924042E0,-1.565145264E0
2.238717625E0,-1.783840485E0,-8.376880188E0,-1.147064667E0
2.248762625E0,-2.246079254E0,-8.365354156E0,-8.189469910E-1
2.258806625E0,-2.565365295E0,-8.307424622E0,-6.631210327E-1
2.268850625E0,-2.753224640E0,-8.478219452E0,-7.821235657E-1
2.278894625E0,-2.904559937E0,-8.759334869E0,-1.008153534E0
2.288938625E0,-3.109334106E0,-8.863667908E0,-1.197958832E0
2.298983625E0,-3.303630066E0,-8.875493317E0,-1.425934753E0
2.309027625E0,-3.527564392E0,-8.688831482E0,-1.783690796E0
2.319071625E0,-3.685186615E0,-8.413104858E0,-2.120939484E0
2.329115625E0,-3.755091248E0,-8.030500488E0,-2.329455872E0
2.339160625E0,-3.842659149E0,-7.685617676E0,-2.389331360E0
2.349204625E0,-3.926933899E0,-7.526797943E0,-2.333347778E0
2.359248625E0,-4.056264954E0,-7.569459229E0,-2.221979370E0
2.369292625E0,-4.374802551E0,-7.581733704E0,-2.110610962E0
2.379336625E0,-4.729265442E0,-7.565417633E0,-2.011517029E0
2.389381625E0,-4.831053772E0,-7.541168060E0,-1.887125702E0
2.399425625E0,-5.049898682E0,-7.704927521E0,-1.815424805E0
2.409469625E0,-5.267546082E0,-7.787705383E0,-1.282233582E0
2.419513625E0,-5.376220093E0,-7.827971649E0,-5.173242188E-1
2.429558625E0,-5.489534454E0,-8.151448975E0,-8.789721680E-1
2.439602625E0,-5.446873169E0,-8.261619873E0,-1.061143341E0
2.449646625E0,-5.446274414E0,-8.282725983E0,2.113754425E0
2.459690625E0,-5.633385315E0,-8.231382751E0,8.277935944E0
2.469735625E0,-5.902076569E0,-7.823031921E0,6.728358307E0
2.479779625E0,-6.363716583E0,-7.281907196E0,3.726051636E0
2.489823625E0,-6.564449158E0,-6.905440063E0,1.290915527E0
2.499867625E0,-6.856791229E0,-7.280260620E0,9.385482788E-2
2.509911625E0,-7.028933258E0,-7.758815460E0,-4.667294312E-1
2.519956625E0,-7.090904388E0,-8.168363800E0,-5.324427795E-1
2.530000625E0,-7.262597351E0,-8.829987946E0,-3.248245239E-1
2.540044625E0,-7.514373779E0,-9.307045898E0,-4.508624268E-1
2.550088625E0,-7.564369812E0,-9.421557770E0,-1.242566071E0
2.560133625E0,-7.459138641E0,-9.359436951E0,-2.067051544E0
2.570177625E0,-7.182364197E0,-9.098529510E0,-2.290387115E0
2.580221625E0,-6.915319519E0,-8.758287048E0,-2.240840149E0
