"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
3.879583324E-3,-4.342556034E0,-8.744326821E0,-9.565943212E-1
1.392458333E-2,-4.327812572E0,-8.750150648E0,-9.700440867E-1
2.396858332E-2,-4.313692423E0,-8.755683868E0,-9.829270376E-1
3.401258332E-2,-4.300834104E0,-8.761129380E0,-9.907257615E-1
4.405658331E-2,-4.291012243E0,-8.766370824E0,-9.869504336E-1
5.410058331E-2,-4.285522000E0,-8.771084265E0,-9.687643504E-1
6.414558331E-2,-4.284662459E0,-8.774724156E0,-9.391392861E-1
7.418933330E-2,-4.288745278E0,-8.776890550E0,-8.994174691E-1
8.423333336E-2,-4.299296578E0,-8.776828569E0,-8.482016341E-1
9.427733335E-2,-4.317973462E0,-8.773781000E0,-7.822802711E-1
1.043213333E-1,-4.346084536E0,-8.766929233E0,-6.989859532E-1
1.143663333E-1,-4.383071976E0,-8.755875072E0,-5.995437087E-1
1.244103333E-1,-4.428567407E0,-8.739925037E0,-4.874301095E-1
1.344543333E-1,-4.482751215E0,-8.718111999E0,-3.681662060E-1
1.444983333E-1,-4.545374603E0,-8.689968765E0,-2.451623320E-1
1.545423333E-1,-4.618149633E0,-8.654164510E0,-1.192064272E-1
1.645873333E-1,-4.703348536E0,-8.608977227E0,1.034977042E-2
1.746313333E-1,-4.804803574E0,-8.551461675E0,1.499039531E-1
1.846753333E-1,-4.931229440E0,-8.474722232E0,3.133547353E-1
1.947193333E-1,-5.090672486E0,-8.370538883E0,5.052072165E-1
2.047633333E-1,-5.285382428E0,-8.233668428E0,7.124176653E-1
2.148083333E-1,-5.508827342E0,-8.066722235E0,9.038455655E-1
2.248523333E-1,-5.744668939E0,-7.883806711E0,1.039461061E0
2.348963333E-1,-5.975605305E0,-7.702287503E0,1.096816254E0
2.449403334E-1,-6.194932610E0,-7.530044317E0,1.075795440E0
2.549853333E-1,-6.403402221E0,-7.363960004E0,1.002321083E0
2.650293334E-1,-6.602890508E0,-7.196720281E0,9.193275308E-1
2.750733334E-1,-6.787594694E0,-7.028228669E0,8.767366312E-1
2.851173333E-1,-6.950349019E0,-6.863924248E0,9.029473601E-1
2.951613333E-1,-7.089333826E0,-6.709928468E0,9.768863522E-1
3.052063333E-1,-7.208870210E0,-6.571397989E0,1.041649163E0
3.152503333E-1,-7.314134710E0,-6.448263229E0,1.076768636E0
3.252943333E-1,-7.404695801E0,-6.336913531E0,1.118083966E0
3.353383333E-1,-7.476819452E0,-6.238417768E0,1.189716085E0
3.453823333E-1,-7.528664374E0,-6.156122301E0,1.287437019E0
3.554273333E-1,-7.562085890E0,-6.090896611E0,1.397113535E0
3.654713333E-1,-7.580911585E0,-6.041370694E0,1.505894404E0
3.755153333E-1,-7.589340346E0,-6.005024986E0,1.605518095E0
3.855593333E-1,-7.592435862E0,-5.976908650E0,1.693394291E0
3.956033333E-1,-7.594280074E0,-5.952773682E0,1.768468301E0
4.056483333E-1,-7.597397810E0,-5.930465385E0,1.828998823E0
4.156923333E-1,-7.604260687E0,-5.907256032E0,1.875008809E0
4.257363333E-1,-7.616705316E0,-5.880926020E0,1.906992348E0
4.357803334E-1,-7.633006184E0,-5.852878096E0,1.927989699E0
4.458253334E-1,-7.648371497E0,-5.827995270E0,1.942414780E0
4.558693334E-1,-7.657439944E0,-5.812439337E0,1.953265458E0
4.659133333E-1,-7.657880239E0,-5.809096484E0,1.961477434E0
4.759573333E-1,-7.648901255E0,-5.818490036E0,1.968653868E0
4.860013333E-1,-7.629113692E0,-5.840459195E0,1.980350638E0
4.960463333E-1,-7.599757161E0,-5.873088412E0,1.996647413E0
5.060903333E-1,-7.564234157E0,-5.913617218E0,2.011859676E0
5.161343333E-1,-7.523314757E0,-5.961332837E0,2.024433382E0
5.261783333E-1,-7.475954649E0,-6.016236438E0,2.037428819E0
5.362223333E-1,-7.423452500E0,-6.075865758E0,2.052395644E0
