"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.879583324E-3,3.441139311E-2,3.614695370E-1,-1.292049438E-1
1.392458333E-2,8.465013467E-3,3.349148929E-1,-1.267638952E-1
2.396858332E-2,-3.917513881E-3,2.576465309E-1,-1.271851957E-1
3.401258332E-2,1.859658398E-2,1.125727147E-1,-1.204058453E-1
4.405658331E-2,8.271607757E-2,-8.888413757E-2,-9.881332517E-2
5.410058331E-2,1.645089388E-1,-2.347710431E-1,-6.188832596E-2
6.414558331E-2,2.594811022E-1,-2.731267214E-1,-1.368013117E-2
7.418933330E-2,3.838491440E-1,-2.599312961E-1,5.362726748E-2
8.423333336E-2,5.379297137E-1,-2.467870861E-1,1.377352923E-1
9.427733335E-2,7.027141452E-1,-2.851416767E-1,2.394137233E-1
1.043213333E-1,8.572023511E-1,-3.743896782E-1,3.416818380E-1
1.143663333E-1,9.997184873E-1,-4.273588657E-1,4.378805459E-1
1.244103333E-1,1.131306291E0,-3.920302093E-1,5.474678874E-1
1.344543333E-1,1.226179242E0,-3.089518249E-1,6.514965296E-1
1.444983333E-1,1.283119202E0,-2.772551477E-1,7.629282475E-1
1.545423333E-1,1.314014316E0,-2.811108828E-1,8.987857103E-1
1.645873333E-1,1.396706104E0,-2.486852854E-1,1.067887783E0
1.746313333E-1,1.629630208E0,-1.790875643E-1,1.303718686E0
1.846753333E-1,2.127010822E0,4.194461554E-2,1.665853024E0
1.947193333E-1,2.822660446E0,6.739470959E-1,2.069999218E0
2.047633333E-1,3.457771778E0,1.485456228E0,2.422560692E0
2.148083333E-1,3.765735149E0,2.445751905E0,2.611318111E0
2.248523333E-1,3.515466928E0,3.115880013E0,2.563363552E0
2.348963333E-1,2.826190948E0,3.378535271E0,2.433064222E0
2.449403334E-1,2.045905113E0,3.359957933E0,2.338825703E0
2.549853333E-1,1.552045345E0,3.139871597E0,2.332268953E0
2.650293334E-1,1.477880836E0,2.694958210E0,2.337325096E0
2.750733334E-1,1.626658559E0,1.815490842E0,2.242864847E0
2.851173333E-1,1.712548137E0,8.515932560E-1,2.073316813E0
2.951613333E-1,1.502125859E0,2.825681567E-1,1.856375694E0
3.052063333E-1,8.841148615E-1,1.763639003E-1,1.662150860E0
3.152503333E-1,2.833456397E-1,-1.673463285E-1,1.547295094E0
3.252943333E-1,-3.392872959E-2,-7.685367465E-1,1.413614035E0
3.353383333E-1,-1.953706145E-1,-1.324485183E0,1.229571223E0
3.453823333E-1,-3.114043772E-1,-1.659454226E0,1.016880870E0
3.554273333E-1,-4.341513515E-1,-1.814655304E0,8.272930980E-1
3.654713333E-1,-5.249251127E-1,-1.797918797E0,6.549464464E-1
3.755153333E-1,-5.111523271E-1,-1.635339737E0,5.166219473E-1
3.855593333E-1,-4.151179790E-1,-1.401062012E0,4.254494011E-1
3.956033333E-1,-2.945375144E-1,-1.120071173E0,3.690529764E-1
4.056483333E-1,-2.292500734E-1,-8.759198785E-1,3.425715566E-1
4.156923333E-1,-2.111094147E-1,-6.704618335E-1,3.750003278E-1
4.257363333E-1,-1.941702217E-1,-4.867185056E-1,4.113824666E-1
4.357803334E-1,-1.784216166E-1,-3.557378352E-1,4.037857950E-1
4.458253334E-1,-1.920209527E-1,-3.100405931E-1,3.246158957E-1
4.558693334E-1,-2.338040769E-1,-3.005751967E-1,1.833085418E-1
4.659133333E-1,-2.942981124E-1,-3.113412261E-1,3.719418496E-2
4.759573333E-1,-3.790910244E-1,-4.008452892E-1,-1.082799286E-1
4.860013333E-1,-4.860344529E-1,-5.659705400E-1,-2.380760759E-1
4.960463333E-1,-5.519849658E-1,-6.473769546E-1,-3.385635018E-1
5.060903333E-1,-5.793924928E-1,-6.299200058E-1,-4.259112775E-1
5.161343333E-1,-5.839152932E-1,-6.233699918E-1,-5.243518353E-1
5.261783333E-1,-5.539376736E-1,-6.345154047E-1,-6.203821301E-1
5.362223333E-1,-4.786680043E-1,-6.007228494E-1,-6.852226257E-1
5.462673333E-1,-3.977782726E-1,-5.110840797E-1,-7.161418200E-1
5.563113333E-1,-3.179433644E-1,-3.508092165E-1,-7.439822555E-1
5.663553333E-1,-2.403761297E-1,-1.487061381E-1,-7.812584043E-1
5.763993333E-1,-1.758791655E-1,6.596755236E-2,-8.017567992E-1
5.864443333E-1,-1.495285183E-1,2.248448133E-1,-8.065299392E-1
5.964883333E-1,-1.593822092E-1,3.802458644E-1,-8.105422854E-1
6.065323333E-1,-1.881550550E-1,5.413241982E-1,-8.240300417E-1
