"Time (s)","X (µT)","Y (µT)","Z (µT)"
3.879583324E-3,6.859436035E-1,3.596627808E1,-2.267187500E1
1.392458333E-2,6.629638672E-1,3.601113892E1,-2.264202881E1
2.396858332E-2,6.485137939E-1,3.598040771E1,-2.268164062E1
3.401258332E-2,7.362976074E-1,3.607894897E1,-2.257940674E1
4.405658331E-2,7.362976074E-1,3.607894897E1,-2.257940674E1
5.410058331E-2,7.026977539E-1,3.591714478E1,-2.266571045E1
6.414558331E-2,5.894470215E-1,3.591738892E1,-2.249682617E1
7.418933330E-2,4.408264160E-1,3.597915649E1,-2.265643311E1
8.423333336E-2,4.127197266E-1,3.583889771E1,-2.295324707E1
9.427733335E-2,2.925109863E-1,3.560479736E1,-2.301318359E1
1.043213333E-1,2.695770264E-1,3.550518799E1,-2.330120850E1
1.143663333E-1,5.087890625E-1,3.536309814E1,-2.370452881E1
1.244103333E-1,4.997482300E-1,3.506939697E1,-2.404046631E1
1.344543333E-1,6.190948486E-1,3.471466064E1,-2.427288818E1
1.444983333E-1,7.154083252E-1,3.432366943E1,-2.474816895E1
1.545423333E-1,8.141708374E-1,3.401870728E1,-2.548529053E1
1.645873333E-1,1.017074585E0,3.359109497E1,-2.569458008E1
1.746313333E-1,1.281715393E0,3.326950073E1,-2.610845947E1
1.846753333E-1,1.595260620E0,3.281790161E1,-2.664227295E1
1.947193333E-1,2.128936768E0,3.234918213E1,-2.723272705E1
2.047633333E-1,2.914108276E0,3.148544312E1,-2.822851562E1
2.148083333E-1,4.219299316E0,3.033642578E1,-2.923718262E1
2.248523333E-1,5.777435303E0,2.911236572E1,-3.007147217E1
2.348963333E-1,7.394096375E0,2.796896362E1,-3.061743164E1
2.449403334E-1,9.135017395E0,2.704702759E1,-3.127270508E1
2.549853333E-1,1.048147583E1,2.615747070E1,-3.146569824E1
2.650293334E-1,1.216664886E1,2.536721802E1,-3.139196777E1
2.750733334E-1,1.343642426E1,2.450796509E1,-3.120996094E1
2.851173333E-1,1.458697510E1,2.368469238E1,-3.135736084E1
2.951613333E-1,1.543163300E1,2.300405884E1,-3.153924561E1
3.052063333E-1,1.588467407E1,2.221047974E1,-3.162054443E1
3.152503333E-1,1.622319031E1,2.152804565E1,-3.176239014E1
3.252943333E-1,1.646084595E1,2.120330811E1,-3.195562744E1
3.353383333E-1,1.625677490E1,2.099172974E1,-3.225305176E1
3.453823333E-1,1.599723816E1,2.098992920E1,-3.263970947E1
3.554273333E-1,1.569660950E1,2.083105469E1,-3.267907715E1
3.654713333E-1,1.516294861E1,2.097698975E1,-3.284027100E1
3.755153333E-1,1.470138550E1,2.105105591E1,-3.275018311E1
3.855593333E-1,1.423737335E1,2.114184570E1,-3.286724854E1
3.956033333E-1,1.379553986E1,2.115768433E1,-3.307196045E1
4.056483333E-1,1.344802856E1,2.123733521E1,-3.324462891E1
4.156923333E-1,1.330821228E1,2.126077271E1,-3.319335938E1
4.257363333E-1,1.307780457E1,2.136322021E1,-3.306304932E1
4.357803334E-1,1.295811462E1,2.122143555E1,-3.321728516E1
4.458253334E-1,1.294761658E1,2.129580688E1,-3.307775879E1
4.558693334E-1,1.292375183E1,2.131335449E1,-3.337847900E1
4.659133333E-1,1.271714020E1,2.131207275E1,-3.329339600E1
4.759573333E-1,1.256875610E1,2.130007935E1,-3.339166260E1
4.860013333E-1,1.229029083E1,2.151550293E1,-3.322827148E1
4.960463333E-1,1.189138794E1,2.176785278E1,-3.299884033E1
5.060903333E-1,1.162989044E1,2.195425415E1,-3.274707031E1
5.161343333E-1,1.129430389E1,2.205612183E1,-3.299584961E1
5.261783333E-1,1.098922729E1,2.240603638E1,-3.262805176E1
5.362223333E-1,1.058265686E1,2.270831299E1,-3.270605469E1
5.462673333E-1,1.022616577E1,2.300598145E1,-3.266619873E1
5.563113333E-1,9.816879272E0,2.323168945E1,-3.270581055E1
5.663553333E-1,9.478446960E0,2.340832520E1,-3.258294678E1
5.763993333E-1,9.443534851E0,2.356539917E1,-3.263385010E1
5.864443333E-1,9.278312683E0,2.364611816E1,-3.256494141E1
5.964883333E-1,9.237358093E0,2.373959351E1,-3.247033691E1
6.065323333E-1,9.199043274E0,2.374841309E1,-3.229547119E1
6.165763334E-1,9.086845398E0,2.397296143E1,-3.235968018E1
6.266203334E-1,9.030181885E0,2.407870483E1,-3.225402832E1
6.366653334E-1,9.234275818E0,2.411172485E1,-3.207287598E1
