"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.590666620E-3,4.492618144E-2,4.840139300E-2,1.277661696E-2
1.463466662E-2,4.366410896E-2,6.137684733E-2,1.769307815E-2
2.467866667E-2,4.105867445E-2,6.769714504E-2,1.877403073E-2
3.472266666E-2,3.918647021E-2,6.707715988E-2,2.039722726E-2
4.476666666E-2,3.338737041E-2,6.141262129E-2,2.439736575E-2
5.481066665E-2,2.753880247E-2,5.299037322E-2,2.311079390E-2
6.485466665E-2,2.129069716E-2,4.321018234E-2,2.140003070E-2
7.489866664E-2,1.617130265E-2,3.773711994E-2,2.096540295E-2
8.494166663E-2,1.442713011E-2,3.343505040E-2,1.637019031E-2
9.498566663E-2,7.753514219E-3,2.418722585E-2,1.447588392E-2
1.050296666E-1,3.929083236E-3,1.664053835E-2,1.200681925E-2
1.150736666E-1,-3.910965752E-4,1.036106981E-2,1.078096591E-2
1.251176666E-1,-2.685646294E-3,1.327088801E-3,7.183684967E-3
1.351616667E-1,-6.091829389E-3,-1.254824735E-2,5.978337489E-3
1.452056667E-1,-1.155956462E-2,-2.744543552E-2,4.708542489E-3
1.552496667E-1,-1.429969259E-2,-3.780619800E-2,3.489080817E-3
1.652936667E-1,-1.690409705E-2,-4.023660347E-2,2.339633182E-3
1.753376666E-1,-2.341872081E-2,-5.494710803E-2,2.471725456E-3
1.853816666E-1,-3.591756895E-2,-7.916278392E-2,8.931336924E-5
1.954256666E-1,-4.968504608E-2,-1.024896726E-1,-2.960006008E-3
2.054696666E-1,-5.197010189E-2,-1.047249511E-1,-1.356634311E-3
2.155136666E-1,-4.282294214E-2,-8.691932261E-2,-3.811181523E-4
2.255576666E-1,-3.660326451E-2,-7.497220486E-2,3.201318439E-3
2.356016666E-1,-3.341386467E-2,-7.273142040E-2,5.197889637E-3
2.456456667E-1,-2.180021815E-2,-5.150034651E-2,1.267929003E-2
2.556896667E-1,-5.623074248E-4,-9.154488333E-3,1.922960021E-2
2.657336667E-1,1.989766024E-2,2.986223064E-2,2.072665282E-2
2.757776667E-1,2.713000774E-2,5.246021971E-2,2.099030651E-2
2.858216667E-1,3.780072927E-2,6.333267689E-2,2.651375905E-2
2.958656666E-1,4.294142872E-2,7.734436542E-2,2.867864445E-2
3.059096666E-1,4.500787333E-2,8.525314927E-2,3.045688011E-2
3.159536666E-1,4.495833814E-2,9.171477705E-2,2.841210552E-2
3.259976666E-1,5.156540871E-2,1.060862616E-1,2.701803669E-2
3.360416666E-1,5.498650670E-2,1.267321557E-1,2.368029952E-2
3.460856666E-1,5.407107994E-2,1.335176975E-1,1.841271110E-2
3.561296666E-1,4.955648631E-2,1.233255267E-1,1.322194375E-2
3.661736667E-1,4.386401549E-2,1.063015312E-1,1.053517871E-2
3.762176667E-1,3.671582416E-2,8.058685064E-2,4.953726195E-3
3.862616667E-1,2.619117498E-2,5.056086183E-2,-1.344238874E-3
3.963056667E-1,1.547727920E-2,1.332134753E-2,-5.076658912E-3
4.063496666E-1,6.928265095E-3,-1.213767286E-2,-9.039442986E-3
4.163936666E-1,3.159193089E-3,-2.797833458E-2,-1.266139280E-2
4.264376666E-1,1.908473205E-3,-3.935224935E-2,-1.472156309E-2
4.364816666E-1,-1.853040885E-4,-5.496716127E-2,-1.604728401E-2
4.465256666E-1,-9.901708923E-3,-7.888837904E-2,-1.314308029E-2
4.565696666E-1,-2.200710773E-2,-1.029801369E-1,-9.158458561E-3
4.666136666E-1,-2.965531126E-2,-1.197234318E-1,-7.768677548E-3
4.766576666E-1,-3.553343937E-2,-1.199236959E-1,-2.508668229E-3
4.867016667E-1,-3.607353196E-2,-1.093861982E-1,1.459803432E-3
4.967456667E-1,-3.915081173E-2,-9.585253894E-2,9.377913550E-3
5.067896667E-1,-4.201836511E-2,-7.849902660E-2,1.778873615E-2
5.168336667E-1,-4.772552103E-2,-5.653646961E-2,2.629940026E-2
5.268776666E-1,-5.281925574E-2,-3.110835701E-2,3.189902380E-2
5.369216666E-1,-6.060846895E-2,-2.209063852E-3,3.465619311E-2
5.469656666E-1,-6.247308105E-2,2.944669873E-2,3.369988501E-2
5.570096666E-1,-6.280916929E-2,5.634329468E-2,2.916186117E-2
5.670536666E-1,-5.559353158E-2,7.688186318E-2,2.264742926E-2
5.770976666E-1,-4.159356281E-2,9.234657139E-2,1.450401638E-2
5.871416666E-1,-1.897846535E-2,9.782034904E-2,8.267449215E-3
5.971856666E-1,9.903516620E-3,8.956827223E-2,3.587210085E-3
6.072296667E-1,3.674118966E-2,6.634391099E-2,-1.288700383E-3
6.172736667E-1,6.004384905E-2,3.756312653E-2,-1.691370271E-3
6.273176667E-1,8.304809779E-2,1.275010034E-2,-3.999046050E-3
6.373616667E-1,9.540010989E-2,-9.587163106E-3,-8.901393041E-3
6.474056666E-1,9.820798039E-2,-2.464520745E-2,-1.116185822E-2
6.574496666E-1,9.975846857E-2,-2.625721879E-2,-1.059061103E-2
6.674936666E-1,9.434530139E-2,-6.576282904E-3,-7.857942954E-3
6.775376666E-1,8.650655299E-2,2.860434167E-2,-7.692826912E-3
6.875816666E-1,7.385520637E-2,5.731366575E-2,-5.572875496E-3
6.976256666E-1,5.356138572E-2,7.269475609E-2,-1.918485854E-3
7.076696666E-1,2.460296825E-2,7.317003608E-2,-6.797546521E-4
7.177136666E-1,-7.130409358E-4,6.159194186E-2,8.646128699E-4
7.277576667E-1,-1.475708932E-2,5.688808858E-2,-1.294976100E-4
7.378016667E-1,-1.550889947E-2,5.419483408E-2,1.050549094E-3
7.478456667E-1,-1.133389305E-2,4.571914673E-2,1.653879881E-4
7.578896667E-1,-9.933869354E-3,2.001804486E-2,1.427193638E-3
7.679336666E-1,-1.066184323E-2,-2.191564254E-2,3.212529235E-3
7.779776666E-1,-1.635648124E-2,-6.740029901E-2,6.068503484E-3
7.880216666E-1,-2.013544366E-2,-9.266003966E-2,9.623942897E-3
7.980656666E-1,-1.693325862E-2,-9.294286370E-2,1.057682186E-2
8.081096666E-1,-2.332554385E-2,-7.466726750E-2,9.808886796E-3
8.181536666E-1,-3.736386448E-2,-5.859616026E-2,5.906290840E-3
8.281976666E-1,-5.822134018E-2,-4.557552189E-2,1.673148479E-3
8.382416666E-1,-7.695668191E-2,-3.787419200E-2,-4.573029466E-3
