"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-2.678000019E-3,-6.041436768E-1,4.827311554E0,8.567882996E0
7.365999976E-3,-5.309458923E-1,4.683460693E0,8.899443512E0
1.741000003E-2,-4.522096252E-1,4.506229248E0,9.192983093E0
2.745499997E-2,-4.942721558E-1,4.412673798E0,9.304950256E0
3.749900003E-2,-6.146218872E-1,4.415368195E0,9.202563171E0
4.754300002E-2,-7.167095947E-1,4.505181427E0,8.948391724E0
5.758800003E-2,-8.099656677E-1,4.575984192E0,8.548124084E0
6.763200002E-2,-8.238867188E-1,4.621938629E0,8.156987457E0
7.767600002E-2,-8.241860962E-1,4.703668671E0,7.906558228E0
8.772100002E-2,-8.316705322E-1,4.733606415E0,7.797884216E0
9.776500001E-2,-8.204438782E-1,4.711302795E0,7.833210754E0
1.078100000E-1,-8.099656677E-1,4.674030304E0,8.011190643E0
1.178540000E-1,-7.349716187E-1,4.631369019E0,8.256979523E0
1.278980000E-1,-6.256988525E-1,4.635260925E0,8.394244080E0
1.379430000E-1,-5.691165161E-1,4.633165283E0,8.492739258E0
1.479870000E-1,-5.264552307E-1,4.602479095E0,8.572223969E0
1.580310000E-1,-4.558021545E-1,4.538562012E0,8.602161713E0
1.680760000E-1,-3.564088440E-1,4.448898468E0,8.543184357E0
1.781200000E-1,-2.701881409E-1,4.352349243E0,8.325536957E0
1.881640000E-1,-2.633024597E-1,4.258644104E0,8.101153564E0
1.982090000E-1,-3.022215271E-1,4.212989044E0,7.848179626E0
2.082530000E-1,-3.739224243E-1,4.225712585E0,7.684869232E0
2.182970000E-1,-3.990701294E-1,4.280648346E0,7.566315765E0
2.283420000E-1,-3.727249146E-1,4.373305664E0,7.558981018E0
2.383860000E-1,-2.324665833E-1,4.474794617E0,7.741002502E0
2.484300000E-1,1.586700439E-2,4.632416840E0,8.112080841E0
2.584750000E-1,2.465373230E-1,4.772375793E0,8.419391785E0
2.685190000E-1,4.682263184E-1,4.856800232E0,8.705297241E0
2.785630000E-1,5.818400574E-1,4.880001984E0,8.855435028E0
2.886080000E-1,5.890251160E-1,4.841082916E0,8.992849274E0
2.986520000E-1,4.784051514E-1,4.787344666E0,9.097781067E0
3.086970000E-1,3.637435913E-1,4.671784973E0,9.291478271E0
3.187410000E-1,2.974314880E-1,4.529730377E0,9.612410889E0
3.287850000E-1,2.597099304E-1,4.375700684E0,9.765093384E0
3.388300000E-1,2.866539001E-1,4.220623169E0,9.776769104E0
3.488740000E-1,3.552113342E-1,4.154909821E0,9.676028595E0
3.589180000E-1,3.626957703E-1,4.227059784E0,9.485474854E0
3.689630000E-1,3.378474426E-1,4.386627960E0,9.249415741E0
3.790070000E-1,3.818559265E-1,4.552183685E0,8.948840790E0
3.890510000E-1,3.644920349E-1,4.669988708E0,8.617280273E0
3.990960000E-1,3.180885315E-1,4.760101318E0,8.387059021E0
4.091400000E-1,3.008743286E-1,4.790937195E0,8.335715790E0
4.191842500E-1,2.960842896E-1,4.813091125E0,8.341254272E0
4.292292500E-1,3.052153015E-1,4.847968597E0,8.477770386E0
4.392732500E-1,3.246748352E-1,4.859344940E0,8.759334869E0
4.493172500E-1,3.073109436E-1,4.849764862E0,9.091943207E0
4.593622500E-1,2.962339783E-1,4.788841553E0,9.403744812E0
4.694062500E-1,3.110531616E-1,4.662953339E0,9.649683380E0
4.794512500E-1,2.841091919E-1,4.510869598E0,9.751172333E0
4.894952500E-1,2.022294617E-1,4.393962708E0,9.635762329E0
4.995392500E-1,3.487747192E-2,4.384232941E0,9.384135590E0
5.095842500E-1,-1.130149841E-1,4.426295471E0,9.015751648E0
5.196282500E-1,-1.817221069E-1,4.519401855E0,8.644074554E0
5.296722500E-1,-2.115101624E-1,4.708309021E0,8.331674194E0
5.397172500E-1,-2.044747925E-1,4.919220428E0,8.063432007E0
5.497612500E-1,-1.454974365E-1,5.047952728E0,7.849227448E0
5.598052500E-1,-3.996688843E-2,5.060825958E0,7.683821411E0
5.698502500E-1,7.649093628E-2,5.060227203E0,7.600594482E0
5.798942500E-1,1.621128845E-1,5.054089966E0,7.601642303E0
5.899382500E-1,2.236349487E-1,5.042414246E0,7.601642303E0
5.999832500E-1,2.754272461E-1,5.042114868E0,7.627837830E0
6.100272500E-1,3.433859253E-1,5.043761444E0,7.673043823E0
6.200712500E-1,3.635939026E-1,5.096152496E0,7.816445618E0
6.301162500E-1,3.709286499E-1,5.189707947E0,7.952063599E0
6.401602500E-1,3.849993896E-1,5.237608337E0,8.133636017E0
6.502042500E-1,4.340972900E-1,5.215454407E0,8.287066956E0
6.602492500E-1,4.128414917E-1,5.156477051E0,8.411158905E0
6.702932500E-1,3.514691162E-1,5.060376892E0,8.430019684E0
6.803372500E-1,2.433938599E-1,5.006938019E0,8.456364899E0
6.903822500E-1,1.139131165E-1,4.975653076E0,8.544531555E0
7.004262500E-1,2.709365845E-2,4.944068756E0,8.698860626E0
