"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.238799997E-2,-3.152740896E-1,-1.799408644E-1,-3.680770099E-2
2.243200003E-2,-2.430097312E-1,-1.105708480E-1,-2.780275419E-2
3.247700003E-2,-1.638604850E-1,-5.530423298E-2,-6.493300665E-3
4.252100002E-2,-9.714803845E-2,-2.262165397E-2,2.098412998E-2
5.256600003E-2,-6.139087677E-2,-2.544413507E-2,4.525238276E-2
6.261000002E-2,-6.585247070E-2,-5.914217979E-2,6.139913201E-2
7.265400002E-2,-1.055083722E-1,-1.019735634E-1,6.786434352E-2
8.269900002E-2,-1.597995758E-1,-1.466976106E-1,7.356643677E-2
9.274300002E-2,-2.178205699E-1,-1.867037863E-1,7.933644205E-2
1.027870000E-1,-2.525542974E-1,-2.246591598E-1,8.389604092E-2
1.128320000E-1,-2.606089711E-1,-2.405815721E-1,8.060340583E-2
1.228760000E-1,-2.517390549E-1,-2.472184300E-1,6.857603788E-2
1.329200000E-1,-2.341396064E-1,-2.438361943E-1,5.102381110E-2
1.429650000E-1,-2.146548480E-1,-2.266284376E-1,4.052030295E-2
1.530090000E-1,-1.982622296E-1,-1.904712766E-1,3.547768295E-2
1.630530000E-1,-1.845032722E-1,-1.499603242E-1,2.869274653E-2
1.730980000E-1,-1.819927245E-1,-1.233613417E-1,2.302849852E-2
1.831420000E-1,-1.911643893E-1,-1.157279238E-1,2.042472549E-2
1.931870000E-1,-2.117694169E-1,-1.298846304E-1,2.643310279E-2
2.032310000E-1,-2.418351769E-1,-1.621109992E-1,4.243683442E-2
2.132750000E-1,-2.746123672E-1,-2.165992111E-1,6.090507656E-2
2.233200000E-1,-3.089695275E-1,-2.868587375E-1,7.526031882E-2
2.333640000E-1,-3.282446861E-1,-3.651479483E-1,7.181844860E-2
2.434080000E-1,-3.222757578E-1,-4.100123346E-1,3.745594621E-2
2.534530000E-1,-3.058432341E-1,-4.291354418E-1,-2.364149503E-2
2.634970000E-1,-2.889702320E-1,-4.065391123E-1,-9.946777672E-2
2.735410000E-1,-2.857976556E-1,-3.774150312E-1,-1.888217032E-1
2.835860000E-1,-2.970202267E-1,-3.471053243E-1,-2.716755867E-1
2.936300000E-1,-3.134262264E-1,-3.274517953E-1,-3.371844590E-1
3.036740000E-1,-3.254013956E-1,-3.072264194E-1,-3.714263141E-1
3.137190000E-1,-3.144273460E-1,-2.513182163E-1,-3.717536330E-1
3.237630000E-1,-2.812816501E-1,-1.827167869E-1,-3.478514850E-1
3.338070000E-1,-2.233541310E-1,-1.207444221E-1,-3.087588847E-1
3.438520000E-1,-1.531393528E-1,-5.872978643E-2,-2.712378800E-1
3.538960000E-1,-8.489868790E-2,-1.550548151E-2,-2.416040003E-1
3.639400000E-1,-2.184355259E-2,6.001407281E-3,-2.196097523E-1
3.739850000E-1,2.364980616E-2,5.987424869E-3,-2.169522494E-1
3.840290000E-1,4.275745153E-2,-3.777789697E-2,-2.334041893E-1
3.940740000E-1,2.147733048E-2,-1.176850796E-1,-2.600698471E-1
4.041180000E-1,-2.871526591E-2,-2.016268522E-1,-2.787641585E-1
4.141622500E-1,-1.071553230E-1,-2.935346663E-1,-2.977868915E-1
4.242072500E-1,-1.958183348E-1,-3.834989071E-1,-3.124276400E-1
4.342512500E-1,-2.817651927E-1,-4.425483644E-1,-3.315027654E-1
4.442952500E-1,-3.422855139E-1,-4.591395855E-1,-3.425719142E-1
4.543402500E-1,-3.693750799E-1,-4.351699054E-1,-3.536534905E-1
4.643842500E-1,-3.570020497E-1,-3.607891500E-1,-3.528417349E-1
4.744282500E-1,-3.035893738E-1,-2.440185845E-1,-3.417172730E-1
4.844732500E-1,-2.286477834E-1,-1.178020611E-1,-3.132033348E-1
4.945172500E-1,-1.447485834E-1,-1.451815479E-3,-2.629009187E-1
5.045612500E-1,-7.025757432E-2,8.677711338E-2,-1.944337040E-1
5.146062500E-1,-1.246233657E-2,1.392123848E-1,-1.217503622E-1
5.246502500E-1,2.876179852E-2,1.586476117E-1,-6.110326201E-2
5.346942500E-1,6.391353905E-2,1.461357772E-1,-2.838321403E-2
5.447392500E-1,8.817413449E-2,9.994751215E-2,-1.241783053E-2
5.547832500E-1,9.884019196E-2,4.467107356E-2,-8.539388888E-3
5.648272500E-1,9.513786435E-2,-1.033465471E-2,-8.933536708E-3
5.748722500E-1,8.645200729E-2,-5.789521709E-2,-7.003037259E-3
5.849162500E-1,7.864015549E-2,-9.762851894E-2,1.006782986E-4
5.949612500E-1,6.906536222E-2,-1.421580315E-1,3.390088212E-3
