"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.238799997E-2,-2.632594299E1,-1.552432251E1,-2.743701172E1
2.243200003E-2,-2.631591797E1,-1.551455688E1,-2.750689697E1
3.247700003E-2,-2.634927368E1,-1.548440552E1,-2.741131592E1
4.252100002E-2,-2.644545746E1,-1.541397095E1,-2.749548340E1
5.256600003E-2,-2.635355377E1,-1.545025635E1,-2.747851562E1
6.261000002E-2,-2.641687012E1,-1.531085205E1,-2.733001709E1
7.265400002E-2,-2.648352051E1,-1.516119385E1,-2.728778076E1
8.269900002E-2,-2.650098419E1,-1.505944824E1,-2.724511719E1
9.274300002E-2,-2.661421967E1,-1.482614136E1,-2.730548096E1
1.027870000E-1,-2.663650513E1,-1.490710449E1,-2.703326416E1
1.128320000E-1,-2.668733978E1,-1.477450562E1,-2.744055176E1
1.228760000E-1,-2.671836853E1,-1.485037231E1,-2.728033447E1
1.329200000E-1,-2.691858673E1,-1.465545654E1,-2.732305908E1
1.429650000E-1,-2.707484436E1,-1.456008911E1,-2.732653809E1
1.530090000E-1,-2.708187103E1,-1.443457031E1,-2.725219727E1
1.630530000E-1,-2.709784698E1,-1.445462036E1,-2.731018066E1
1.730980000E-1,-2.702938843E1,-1.441012573E1,-2.733605957E1
1.831420000E-1,-2.704462433E1,-1.437316895E1,-2.741589355E1
1.931870000E-1,-2.714712524E1,-1.415731812E1,-2.741955566E1
2.032310000E-1,-2.720523834E1,-1.420660400E1,-2.744140625E1
2.132750000E-1,-2.724059296E1,-1.402435303E1,-2.743072510E1
2.233200000E-1,-2.739254761E1,-1.388742065E1,-2.744201660E1
2.333640000E-1,-2.740311432E1,-1.377032471E1,-2.748638916E1
2.434080000E-1,-2.753343201E1,-1.377734375E1,-2.745178223E1
2.534530000E-1,-2.771101379E1,-1.368862915E1,-2.718615723E1
2.634970000E-1,-2.782707214E1,-1.365402222E1,-2.706781006E1
2.735410000E-1,-2.798468781E1,-1.369549561E1,-2.718737793E1
2.835860000E-1,-2.791604614E1,-1.363528442E1,-2.702557373E1
2.936300000E-1,-2.803349304E1,-1.358300781E1,-2.703692627E1
3.036740000E-1,-2.808084869E1,-1.368875122E1,-2.685607910E1
3.137190000E-1,-2.809320831E1,-1.366256714E1,-2.677813721E1
3.237630000E-1,-2.815922546E1,-1.366607666E1,-2.671459961E1
3.338070000E-1,-2.815922546E1,-1.366607666E1,-2.671459961E1
3.438520000E-1,-2.815644073E1,-1.363473511E1,-2.683203125E1
