"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
1.238799997E-2,6.527014138E-1,1.776782019E-1,-1.505926008E-1,-7.209253235E-1,9.850882419E1,2.673556299E1,3.416935070E0,-9.487452729E1
2.243200003E-2,6.527234434E-1,1.762563674E-1,-1.500200043E-1,-7.213734841E-1,9.850549210E1,2.657052044E1,3.350859168E0,-9.492883345E1
3.247700003E-2,6.527793038E-1,1.753158539E-1,-1.495343527E-1,-7.216530284E-1,9.849704257E1,2.645238242E1,3.314034797E0,-9.495836201E1
4.252100002E-2,6.528902475E-1,1.747555010E-1,-1.491969356E-1,-7.217583823E-1,9.848025947E1,2.637819399E1,3.293114263E0,-9.496416463E1
5.256600003E-2,6.530619801E-1,1.744054293E-1,-1.490208671E-1,-7.217240485E-1,9.845427628E1,2.633526727E1,3.273682751E0,-9.495230879E1
6.261000002E-2,6.532821315E-1,1.740150547E-1,-1.489810489E-1,-7.216273030E-1,9.842095988E1,2.630101596E1,3.238633048E0,-9.493468187E1
7.265400002E-2,6.535322625E-1,1.734027861E-1,-1.490012596E-1,-7.215440735E-1,9.838309640E1,2.625403916E1,3.180474255E0,-9.492125720E1
8.269900002E-2,6.538131291E-1,1.724655508E-1,-1.489878306E-1,-7.215169309E-1,9.834056746E1,2.617791187E1,3.098532077E0,-9.491589850E1
9.274300002E-2,6.541303079E-1,1.711824427E-1,-1.489104806E-1,-7.215510883E-1,9.829252371E1,2.606840220E1,2.993349315E0,-9.491843940E1
1.027870000E-1,6.544720266E-1,1.695954729E-1,-1.487990799E-1,-7.216388460E-1,9.824074334E1,2.593150889E1,2.866195781E0,-9.492864603E1
1.128320000E-1,6.548169432E-1,1.678411347E-1,-1.487003897E-1,-7.217564488E-1,9.818845784E1,2.578230997E1,2.724740685E0,-9.494421576E1
1.228760000E-1,6.551211803E-1,1.660600978E-1,-1.486362166E-1,-7.219055433E-1,9.814232176E1,2.563394930E1,2.579751321E0,-9.496622036E1
1.329200000E-1,6.553565809E-1,1.643192031E-1,-1.486145722E-1,-7.220947300E-1,9.810661332E1,2.549244762E1,2.436778356E0,-9.499638686E1
1.429650000E-1,6.555282635E-1,1.626891975E-1,-1.486143588E-1,-7.223078482E-1,9.808056433E1,2.536170643E1,2.302852801E0,-9.503133479E1
1.530090000E-1,6.556773817E-1,1.612207196E-1,-1.485895528E-1,-7.225068629E-1,9.805793481E1,2.524192921E1,2.184216401E0,-9.506317859E1
1.630530000E-1,6.558221825E-1,1.599561765E-1,-1.484808251E-1,-7.226789222E-1,9.803595676E1,2.513139752E1,2.088313495E0,-9.508776787E1
1.730980000E-1,6.559610853E-1,1.588474161E-1,-1.482878380E-1,-7.228370703E-1,9.801487047E1,2.502615860E1,2.011466340E0,-9.510724605E1
1.831420000E-1,6.560958815E-1,1.577854284E-1,-1.480217784E-1,-7.230016854E-1,9.799440438E1,2.491841140E1,1.944149732E0,-9.512536271E1
1.931870000E-1,6.562469937E-1,1.566672847E-1,-1.477121765E-1,-7.231710578E-1,9.797145723E1,2.480251111E1,1.875233067E0,-9.514281264E1
