"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
7.426749973E-3,-7.978488482E-1,4.290136915E0,8.786026239E0
1.747174998E-2,-7.771288010E-1,4.257941561E0,8.803528125E0
2.751574997E-2,-7.576713869E-1,4.232218490E0,8.817616407E0
3.756074997E-2,-7.381947501E-1,4.214107617E0,8.827936742E0
4.760474997E-2,-7.171343949E-1,4.203455744E0,8.834748164E0
5.764974997E-2,-6.924801218E-1,4.198357849E0,8.839138253E0
6.769441662E-2,-6.609824867E-1,4.195802323E0,8.842762358E0
7.773941662E-2,-6.201290142E-1,4.191696408E0,8.847667587E0
8.778441662E-2,-5.689711397E-1,4.182172464E0,8.855608690E0
9.782841662E-2,-5.085542724E-1,4.165813708E0,8.866987372E0
1.078734166E-1,-4.419280274E-1,4.143890450E0,8.880820715E0
1.179174167E-1,-3.720113715E-1,4.118435766E0,8.895852737E0
1.279624166E-1,-3.032317981E-1,4.092664456E0,8.910345061E0
1.380064167E-1,-2.401923631E-1,4.069426159E0,8.922901956E0
1.480514166E-1,-1.844640308E-1,4.050026852E0,8.933048630E0
1.580954167E-1,-1.369256559E-1,4.034439636E0,8.940953481E0
1.681404167E-1,-9.746932992E-2,4.021928057E0,8.947105336E0
1.781844167E-1,-6.480654117E-2,4.011266536E0,8.952186567E0
1.882294167E-1,-3.627982610E-2,4.000926320E0,8.956973682E0
1.982734167E-1,-1.027031110E-2,3.989835029E0,8.961987085E0
2.083184167E-1,1.296484740E-2,3.977626335E0,8.967408623E0
2.183624167E-1,3.465420422E-2,3.963199207E0,8.973737065E0
2.284074167E-1,5.677326172E-2,3.945680365E0,8.981340784E0
2.384514167E-1,7.992804841E-2,3.925362752E0,8.990063075E0
2.484964167E-1,1.037150425E-1,3.903696479E0,8.999249636E0
2.585404167E-1,1.281851375E-1,3.882319643E0,9.008177750E0
2.685854167E-1,1.525725583E-1,3.862618035E0,9.016263279E0
2.786294167E-1,1.749762473E-1,3.845848221E0,9.023022661E0
2.886744167E-1,1.929597245E-1,3.832410150E0,9.028371693E0
2.987184167E-1,2.073868703E-1,3.821700097E0,9.032591044E0
3.087634167E-1,2.200633415E-1,3.813374831E0,9.035809352E0
3.188074167E-1,2.313703948E-1,3.807087905E0,9.038177474E0
3.288524167E-1,2.409076786E-1,3.802301959E0,9.039942749E0
3.388964167E-1,2.478889983E-1,3.798986003E0,9.041147860E0
3.489414167E-1,2.519357648E-1,3.797687629E0,9.041581723E0
3.589864167E-1,2.552050893E-1,3.798090794E0,9.041320353E0
3.690304167E-1,2.610021285E-1,3.799309939E0,9.040642660E0
3.790754167E-1,2.704692092E-1,3.801597954E0,9.039402466E0
3.891194166E-1,2.843735043E-1,3.805043134E0,9.037526094E0
3.991644167E-1,3.024440685E-1,3.808785644E0,9.035362625E0
4.092084166E-1,3.230227775E-1,3.811874728E0,9.033347674E0
4.192534167E-1,3.449833481E-1,3.813695551E0,9.031767172E0
4.292974166E-1,3.667405086E-1,3.813644973E0,9.030931020E0
4.393424166E-1,3.876861852E-1,3.811173355E0,9.031099420E0
4.493864166E-1,4.079300864E-1,3.805595111E0,9.032560054E0
4.594314166E-1,4.277923105E-1,3.797030987E0,9.035244511E0
4.694754166E-1,4.461365609E-1,3.786689893E0,9.038696707E0
4.795204166E-1,4.603705476E-1,3.776613679E0,9.042198020E0
4.895644166E-1,4.680819652E-1,3.768671114E0,9.045115780E0
4.996094166E-1,4.682842423E-1,3.763665897E0,9.047189203E0
5.096534166E-1,4.612118888E-1,3.761170013E0,9.048590196E0
5.196984166E-1,4.489266695E-1,3.760447882E0,9.049508209E0
5.297424166E-1,4.330491766E-1,3.760722993E0,9.050167775E0
5.397874166E-1,4.155877462E-1,3.761791280E0,9.050541996E0
5.498314166E-1,3.981224054E-1,3.763986617E0,9.050414527E0
5.598764166E-1,3.816918025E-1,3.767728835E0,9.049565511E0
5.699204166E-1,3.668253663E-1,3.773501498E0,9.047774509E0
5.799654166E-1,3.536274697E-1,3.781625620E0,9.044907619E0
5.900094166E-1,3.425550725E-1,3.791917596E0,9.041023899E0
6.000544166E-1,3.349192667E-1,3.803305926E0,9.036525636E0
6.100984166E-1,3.313233021E-1,3.814276764E0,9.032032635E0
6.201434166E-1,3.313157373E-1,3.823768257E0,9.028019106E0
6.301874166E-1,3.348875821E-1,3.830714457E0,9.024941717E0
6.402324166E-1,3.411974952E-1,3.835132906E0,9.022828533E0
6.502774166E-1,3.480344983E-1,3.837510676E0,9.021556764E0
6.603214166E-1,3.522021378E-1,3.838560543E0,9.020948068E0
6.703664166E-1,3.511679846E-1,3.838905821E0,9.020841649E0
6.804104166E-1,3.437234193E-1,3.839275073E0,9.020970873E0
6.904554166E-1,3.296522410E-1,3.840074387E0,9.021156229E0
7.004994166E-1,3.103183859E-1,3.841621268E0,9.021183127E0
7.105444166E-1,2.889029586E-1,3.843470743E0,9.021107113E0
