"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.221249695E-4,-1.508263550E0,5.160967712E0,7.992928619E0
9.921875026E-3,-1.409169617E0,5.173541565E0,8.256829834E0
1.996587502E-2,-1.286574554E0,5.078788605E0,8.389454041E0
3.001087502E-2,-1.199904785E0,4.995561676E0,8.393046570E0
4.005487502E-2,-1.178648987E0,4.958139496E0,8.254584503E0
5.009987502E-2,-1.234033813E0,4.950355682E0,8.040978699E0
6.014387502E-2,-1.297352142E0,4.924010468E0,7.779023438E0
7.018887502E-2,-1.312021637E0,4.943020935E0,7.489974518E0
8.023287501E-2,-1.266665955E0,5.002297668E0,7.378306732E0
9.027787502E-2,-1.171912994E0,4.999752960E0,7.422913971E0
1.003218750E-1,-1.023272095E0,4.948260040E0,7.618407440E0
1.103668750E-1,-9.023236084E-1,4.926405487E0,7.893086243E0
1.204108750E-1,-7.827223206E-1,4.978946228E0,8.195307770E0
1.304548750E-1,-5.885760498E-1,5.001998291E0,8.405620422E0
1.404998750E-1,-4.788542175E-1,5.000651093E0,8.354277191E0
1.505438750E-1,-5.574407959E-1,5.041366425E0,8.247698822E0
1.605888750E-1,-7.291337585E-1,5.213658142E0,8.203390961E0
1.706328750E-1,-8.291258240E-1,5.448370056E0,8.327632599E0
1.806778750E-1,-8.789721680E-1,5.600004730E0,8.629554749E0
1.907218750E-1,-8.779243469E-1,5.611979828E0,8.822204132E0
2.007658750E-1,-8.885522461E-1,5.451064453E0,9.005872192E0
2.108108750E-1,-1.155447235E0,5.189707947E0,9.330696716E0
2.208548750E-1,-7.011419678E-1,5.210963745E0,8.960217133E0
2.308998750E-1,-7.017407227E-1,5.017416229E0,8.809929657E0
2.409438750E-1,-9.497749329E-1,4.868326263E0,9.128467255E0
2.509888750E-1,-9.508227539E-1,5.166356506E0,9.154662781E0
2.610328750E-1,-1.003513184E0,5.473966827E0,8.797804871E0
2.710778750E-1,-1.110540619E0,5.678740997E0,8.360115051E0
2.811218750E-1,-1.077010345E0,5.874384155E0,8.021968231E0
2.911668750E-1,-9.982740784E-1,5.961203613E0,7.786657562E0
3.012108750E-1,-9.559121704E-1,6.000122681E0,7.616910553E0
3.112548750E-1,-9.086105347E-1,6.028114471E0,7.607929230E0
3.212998750E-1,-8.506809998E-1,5.991440735E0,7.749534760E0
3.313438750E-1,-7.996371460E-1,5.897436218E0,7.851472778E0
3.413888750E-1,-7.753875732E-1,5.745651855E0,7.860005035E0
3.514328750E-1,-8.044271851E-1,5.643863525E0,7.789801025E0
3.614778750E-1,-7.857160950E-1,5.596861267E0,7.664212189E0
3.715218750E-1,-7.482939148E-1,5.629942474E0,7.485334167E0
3.815668750E-1,-7.518864441E-1,5.705535278E0,7.295079803E0
3.916108750E-1,-7.394622803E-1,5.773943024E0,7.137756958E0
4.016548750E-1,-6.888674927E-1,5.762866058E0,7.071893921E0
4.116998750E-1,-6.514453125E-1,5.683081970E0,7.115603027E0
4.217438750E-1,-5.948629761E-1,5.606740723E0,7.264992371E0
4.317888750E-1,-4.969665527E-1,5.541177063E0,7.383545837E0
4.418328750E-1,-4.107458496E-1,5.508544922E0,7.477101288E0
4.518778750E-1,-3.104544067E-1,5.453459473E0,7.466473389E0
4.619218750E-1,-2.519261169E-1,5.379213867E0,7.463180237E0
4.719668750E-1,-2.707868958E-1,5.320535889E0,7.348967743E0
4.820108750E-1,-3.766168213E-1,5.407954102E0,7.214846649E0
4.920548750E-1,-4.299060059E-1,5.484295349E0,7.223229218E0
5.020998750E-1,-4.593946838E-1,5.525010681E0,7.386389923E0
5.121438750E-1,-4.716691589E-1,5.563929749E0,7.592361603E0
5.221888750E-1,-4.604425049E-1,5.616919556E0,7.757617950E0
5.322328750E-1,-4.327500916E-1,5.662424927E0,7.933053131E0
5.422778750E-1,-4.340972900E-1,5.715714111E0,8.070018311E0
5.523218750E-1,-4.631369019E-1,5.743107147E0,8.110733643E0
5.623668750E-1,-4.903802490E-1,5.749992828E0,8.082292786E0
5.724108750E-1,-5.098397827E-1,5.742508392E0,8.043523407E0
5.824548750E-1,-5.956114197E-1,5.745352478E0,7.992629242E0
5.924998750E-1,-6.893165588E-1,5.750142517E0,8.102051697E0
6.025438750E-1,-6.761439514E-1,5.787864075E0,8.457113342E0
6.125888750E-1,-6.155200195E-1,5.819598083E0,8.837173004E0
6.226328750E-1,-4.878355408E-1,5.860762482E0,9.249864807E0
6.326778750E-1,-3.381468201E-1,5.974825287E0,9.648785248E0
6.427218750E-1,-3.237767029E-1,6.077811127E0,1.002704865E1
6.527668750E-1,-3.457809448E-1,6.150110779E0,1.029454239E1
6.628108750E-1,-3.686833191E-1,6.242917786E0,1.033780243E1
6.728548750E-1,-4.808001709E-1,6.278843079E0,1.007958939E1
6.828998750E-1,-5.671705627E-1,6.220015411E0,9.677076416E0
6.929437500E-1,-5.625302124E-1,6.144721985E0,9.315877533E0
7.029887500E-1,-7.165599060E-1,6.058501282E0,9.239985352E0
7.130327500E-1,-1.041234741E0,5.937702484E0,9.626481628E0
7.230777500E-1,-1.272054749E0,5.663772125E0,1.035816010E1
7.331217500E-1,-1.340163116E0,5.214705963E0,1.095601685E1
7.431667500E-1,-1.310225372E0,4.664749603E0,1.122276215E1
7.532107500E-1,-1.286873932E0,4.169279938E0,1.114163086E1
7.632547500E-1,-1.326391754E0,3.874842224E0,1.087952591E1
7.732997500E-1,-1.387315063E0,3.793261871E0,1.052356613E1
7.833437500E-1,-1.443598022E0,3.848347321E0,1.014365616E1
7.933887500E-1,-1.537452850E0,3.975582733E0,9.801168365E0
8.034327500E-1,-1.568139038E0,4.172573090E0,9.493707733E0
8.134777500E-1,-1.503024445E0,4.282743988E0,9.250762939E0
8.235217500E-1,-1.425785065E0,4.172273712E0,9.019194489E0
8.335667500E-1,-1.343905334E0,4.018393707E0,8.765921173E0
8.436107500E-1,-1.325343933E0,3.911515961E0,8.562344513E0
8.536547500E-1,-1.270707550E0,3.848047943E0,8.427325287E0
8.636997500E-1,-1.243464203E0,3.851640472E0,8.286917267E0
8.737437500E-1,-1.172960815E0,3.913012848E0,8.209677887E0
8.837887500E-1,-1.053958282E0,3.970643005E0,8.257578278E0
8.938327500E-1,-8.788224792E-1,3.972439270E0,8.418044586E0
9.038777500E-1,-5.936654663E-1,3.888613586E0,8.580606537E0
9.139217500E-1,-3.233276367E-1,3.761378174E0,8.621321869E0
9.239667500E-1,-1.974394226E-1,3.608246613E0,8.493038635E0
9.340107500E-1,-1.335223389E-1,3.472179565E0,8.362809448E0
9.440547500E-1,-1.004411316E-1,3.378923492E0,8.228987732E0
9.540997500E-1,-4.730163574E-2,3.314557343E0,8.073610840E0
9.641437500E-1,1.257385254E-2,3.313210144E0,7.896828461E0
9.741887500E-1,3.787124634E-2,3.392844543E0,7.698640594E0
9.842327500E-1,-7.080276489E-2,3.468886414E0,7.556286621E0
9.942777500E-1,-2.091151428E-1,3.573518829E0,7.489375763E0
1.004321750E0,-3.498225403E-1,3.721560974E0,7.499853973E0
1.014366750E0,-4.433779907E-1,3.819906464E0,7.489226074E0
1.024410750E0,-4.840933228E-1,3.847748566E0,7.408094788E0
1.034454750E0,-4.962181091E-1,3.868255920E0,7.322472839E0
1.044499750E0,-5.170248413E-1,3.909869385E0,7.276967468E0
1.054543750E0,-5.451663208E-1,3.917802887E0,7.227570190E0
1.064588750E0,-5.312452698E-1,3.915407867E0,7.228767700E0
1.074632750E0,-5.056484985E-1,3.941004639E0,7.294031982E0
1.084677750E0,-4.830455017E-1,3.971391449E0,7.381001129E0
1.094721750E0,-5.007087708E-1,4.043990479E0,7.496411133E0
1.104766750E0,-5.989045715E-1,4.101470947E0,7.471263428E0
1.114810750E0,-3.668870544E-1,4.356839905E0,7.732470245E0
1.124854750E0,-5.508544922E-2,4.705464935E0,8.219557343E0
1.134899750E0,-2.589614868E-2,4.917424164E0,8.517288208E0
1.144943750E0,-1.122665405E-2,5.100343781E0,8.746311951E0
1.154988750E0,4.415817261E-2,5.198689270E0,8.949289856E0
1.165032750E0,-7.634124756E-3,5.084925842E0,9.020841064E0
1.175077750E0,-4.879852295E-2,4.928501129E0,9.176217957E0
1.185121750E0,-3.263214111E-2,4.744833069E0,9.433981934E0
1.195165750E0,1.706451416E-2,4.630919952E0,9.661658478E0
1.205210750E0,8.173004150E-2,4.617897034E0,9.782157898E0
1.215254750E0,1.368154907E-1,4.677922211E0,9.857301636E0
1.225299750E0,1.574725342E-1,4.718338165E0,1.001806732E1
1.235343750E0,1.561253357E-1,4.909790039E0,1.031774414E1
1.245388750E0,1.916015625E-1,5.222190399E0,1.059736267E1
1.255432750E0,2.737806702E-1,5.497767334E0,1.059122543E1
1.265477750E0,4.580474854E-1,5.673352203E0,1.030861313E1
1.275521750E0,6.298901367E-1,5.738317108E0,9.987979889E0
1.285565750E0,6.593788147E-1,5.616919556E0,9.823621674E0
1.295610750E0,5.899232483E-1,5.329517212E0,1.013048355E1
1.305654750E0,4.872367859E-1,4.869823151E0,1.084913910E1
1.315699750E0,4.574487305E-1,4.375850372E0,1.152378616E1
1.325743750E0,5.020559692E-1,3.962110748E0,1.198003738E1
1.335788750E0,6.405180359E-1,3.693718872E0,1.210353058E1
1.345832750E0,8.204438782E-1,3.540737000E0,1.173409882E1
1.355877750E0,9.223818970E-1,3.518134003E0,1.081216599E1
1.365921750E0,8.797206116E-1,3.650758209E0,9.676178284E0
1.375965750E0,8.234376526E-1,3.879332886E0,8.654852142E0
1.386010750E0,7.379653931E-1,4.092040558E0,7.996371460E0
1.396054750E0,6.310876465E-1,4.183350677E0,7.861651611E0
1.406099750E0,6.001020813E-1,4.165537720E0,8.204438782E0
1.416143750E0,6.491999817E-1,4.069287872E0,8.762178955E0
1.426188750E0,6.716532898E-1,3.904929657E0,9.088799744E0
1.436232750E0,5.948629761E-1,3.739972687E0,9.146130524E0
1.446276750E0,5.432203674E-1,3.548221436E0,9.013057251E0
1.456321750E0,4.993615723E-1,3.441942444E0,8.702453156E0
1.466365750E0,4.056564331E-1,3.498075714E0,8.376281433E0
1.476410750E0,3.267704773E-1,3.650309143E0,8.049960022E0
1.486454750E0,2.339634705E-1,3.857927399E0,7.730673981E0
1.496499750E0,1.583706665E-1,4.089346161E0,7.452552338E0
1.506543750E0,1.130149841E-1,4.259093170E0,7.179969177E0
1.516588750E0,1.028361511E-1,4.338278503E0,6.951544189E0
1.526632750E0,4.056564331E-2,4.340823212E0,6.841972046E0
1.536676750E0,-4.415817261E-2,4.267625427E0,6.807244263E0
1.546721750E0,-1.703457642E-1,4.169878693E0,6.780899048E0
1.556765750E0,-3.186872864E-1,4.075574799E0,6.800059204E0
1.566810750E0,-3.858975220E-1,4.009262695E0,6.863676910E0
1.576854750E0,-2.975811768E-1,3.966002655E0,6.947502594E0
1.586899750E0,-1.442999268E-1,4.014352112E0,6.944209442E0
1.596943750E0,-3.308120728E-2,4.133654022E0,6.870263214E0
1.606987750E0,7.634124756E-3,4.307592316E0,6.806795197E0
1.617032750E0,1.347198486E-3,4.474495239E0,6.778504028E0
1.627076750E0,-3.772155762E-2,4.624782715E0,6.772815857E0
1.637121750E0,-9.759704590E-2,4.758754120E0,6.850953369E0
1.647165750E0,-1.466949463E-1,4.842879181E0,6.972201233E0
1.657210750E0,-1.582209778E-1,4.801116028E0,7.119794312E0
1.667254750E0,-1.251397705E-1,4.756808167E0,7.461683350E0
1.677299750E0,-6.646179199E-2,4.720583496E0,7.941286011E0
1.687343750E0,-2.245330811E-2,4.717440033E0,8.397836609E0
1.697388042E0,-3.023712158E-2,4.798721008E0,8.651109924E0
1.707433042E0,-1.137634277E-1,4.935686188E0,8.779093781E0
1.717477042E0,-1.760339355E-1,5.081932068E0,8.848848724E0
1.727522042E0,-1.692979431E-1,5.269791412E0,8.881181488E0
1.737566042E0,-1.556762695E-1,5.400918732E0,8.821755066E0
1.747611042E0,-1.380130005E-1,5.499413910E0,8.712482300E0
1.757655042E0,-1.347198486E-1,5.650449829E0,8.699758759E0
1.767700042E0,-8.532257080E-2,5.813760223E0,8.773704987E0
1.777744042E0,1.631607056E-2,5.964646454E0,9.030720520E0
1.787788042E0,6.092330933E-2,6.044430542E0,9.388626251E0
1.797833042E0,9.160949707E-2,6.025270386E0,9.840386810E0
1.807877042E0,2.146536255E-1,5.945635986E0,1.028301636E1
1.817922042E0,2.532733154E-1,5.826334076E0,1.057535843E1
1.827966042E0,1.969903564E-1,5.854625244E0,1.060694275E1
1.838011042E0,1.260379028E-1,6.108647003E0,1.019799316E1
1.848055042E0,1.896556091E-1,6.310128021E0,9.643246765E0
1.858100042E0,4.532574463E-1,6.393055573E0,9.264534302E0
1.868144042E0,5.646258545E-1,6.363566895E0,9.183253326E0
1.878188042E0,2.338137817E-1,6.264472961E0,9.662556610E0
1.888233042E0,-2.095642090E-1,6.046376495E0,1.077055252E1
1.898277042E0,-5.289999390E-1,5.594316559E0,1.184367096E1
1.908322042E0,-7.250921631E-1,4.869074707E0,1.257954071E1
1.918366042E0,-9.114546204E-1,4.134851532E0,1.275692184E1
1.928411042E0,-1.145118713E0,3.566333771E0,1.237237152E1
1.938455042E0,-1.295406189E0,3.205883331E0,1.162138321E1
1.948499042E0,-1.332079926E0,3.106340332E0,1.086231171E1
1.958544042E0,-1.383423157E0,3.262315979E0,1.036759048E1
1.968588042E0,-1.383722534E0,3.524121552E0,1.006866211E1
1.978633042E0,-1.354832611E0,3.688479767E0,9.789043579E0
1.988677042E0,-1.325792999E0,3.784879303E0,9.583520966E0
1.998722042E0,-1.199605408E0,3.827241211E0,9.426647186E0
2.008766042E0,-1.047821045E0,3.771856384E0,9.242080994E0
2.018810042E0,-8.653504944E-1,3.657793579E0,9.038204956E0
2.028855042E0,-6.929090881E-1,3.541186066E0,8.828790436E0
2.038899042E0,-5.129832458E-1,3.507955170E0,8.622669067E0
2.048944042E0,-3.432362366E-1,3.519331512E0,8.473579102E0
2.058988042E0,-1.359173584E-1,3.532055054E0,8.390801239E0
2.069033042E0,7.978408813E-2,3.534899139E0,8.320896606E0
2.079077042E0,2.679428101E-1,3.577261047E0,8.262068939E0
2.089122042E0,4.210743713E-1,3.567082214E0,8.124355316E0
2.099166042E0,4.972659302E-1,3.583398285E0,7.886649628E0
2.109210042E0,4.733157349E-1,3.572471008E0,7.552245026E0
2.119255042E0,4.153862000E-1,3.544928284E0,7.166197815E0
2.129299042E0,3.290158081E-1,3.539389801E0,6.758894806E0
2.139344042E0,2.278262329E-1,3.569477234E0,6.379433899E0
2.149388042E0,1.986369324E-1,3.667373657E0,6.070027313E0
2.159433042E0,1.246907043E-1,3.748205566E0,5.839356995E0
2.169477042E0,1.362167358E-2,3.800446930E0,5.674549713E0
2.179522042E0,-1.570234680E-1,3.901636505E0,5.641767883E0
2.189566042E0,-3.555107117E-1,3.981121216E0,5.752088470E0
2.199610042E0,-4.836442566E-1,4.041894836E0,5.973627777E0
2.209655042E0,-4.213737488E-1,4.171525269E0,6.247408447E0
2.219699042E0,-3.370989990E-1,4.348756714E0,6.441405029E0
2.229744042E0,-3.212319946E-1,4.577181702E0,6.597530365E0
2.239788042E0,-3.213816833E-1,4.775369568E0,6.656657410E0
2.249833042E0,-2.881507874E-1,4.938979340E0,6.762337646E0
2.259877042E0,-2.436932373E-1,5.131329346E0,6.849905548E0
2.269921042E0,-2.637515259E-1,5.309907990E0,6.897057495E0
2.279966042E0,-3.004252625E-1,5.445975037E0,7.020251312E0
2.290010042E0,-2.423460388E-1,5.473368073E0,7.269033966E0
2.300055042E0,-7.903564453E-2,5.460943909E0,7.555388489E0
2.310099042E0,-4.191284180E-3,5.474116516E0,7.804021454E0
2.320144042E0,7.185058594E-2,5.557193756E0,8.081843719E0
2.330188042E0,1.044827271E-1,5.630840607E0,8.351133728E0
2.340233042E0,5.628295898E-2,5.665718079E0,8.663683777E0
2.350277042E0,6.167175293E-2,5.662873993E0,9.112300873E0
2.360321042E0,2.197430420E-1,5.619913330E0,9.515562286E0
2.370366042E0,3.483256531E-1,5.608686676E0,9.801617432E0
2.380410042E0,4.237687683E-1,5.626499634E0,1.001627106E1
2.390455042E0,5.194198608E-1,5.746100922E0,1.020413040E1
2.400499042E0,5.275030518E-1,5.981112213E0,1.037148239E1
2.410544042E0,4.791535950E-1,6.190227356E0,1.031490005E1
2.420588042E0,4.531077576E-1,6.291117554E0,1.001163071E1
2.430632042E0,5.586383057E-1,6.192921753E0,9.645791473E0
2.440677042E0,6.282435608E-1,5.876629486E0,9.542206879E0
2.450721042E0,6.152206421E-1,5.521118774E0,9.749825134E0
2.460766042E0,4.354444885E-1,5.232069855E0,1.021610550E1
2.470810042E0,2.372566223E-1,4.983736267E0,1.087234085E1
2.480855042E0,1.353186035E-1,4.728516998E0,1.148771118E1
2.490899042E0,2.206411743E-1,4.470753021E0,1.185594543E1
