"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
-1.221249695E-4,-1.610272378E-1,-2.318915874E-1,1.108566951E-2
9.921875026E-3,-1.091778874E-1,-2.510346770E-1,2.220037207E-2
1.996587502E-2,-5.616347119E-2,-2.481114566E-1,2.932314388E-2
3.001087502E-2,-2.042731084E-2,-2.351812720E-1,3.689690679E-2
4.005487502E-2,-8.277875371E-3,-2.372338772E-1,5.042500794E-2
5.009987502E-2,-2.203896083E-2,-2.521691322E-1,7.266693562E-2
6.014387502E-2,-7.024070621E-2,-2.896970212E-1,9.567666799E-2
7.018887502E-2,-1.455764771E-1,-3.433951139E-1,1.150005683E-1
8.023287501E-2,-2.350185961E-1,-3.960751295E-1,1.269853562E-1
9.027787502E-2,-3.229708374E-1,-4.283385277E-1,1.378049701E-1
1.003218750E-1,-3.959557116E-1,-4.315268397E-1,1.504684985E-1
1.103668750E-1,-4.345353246E-1,-4.071013927E-1,1.468694955E-1
1.204108750E-1,-4.347567558E-1,-3.539486825E-1,1.398041546E-1
1.304548750E-1,-4.065861106E-1,-2.796148062E-1,1.220938712E-1
1.404998750E-1,-3.791601658E-1,-2.184066623E-1,9.188252687E-2
1.505438750E-1,-3.644917607E-1,-1.839291155E-1,6.751167774E-2
1.605888750E-1,-3.732787073E-1,-1.353026181E-1,4.768593237E-2
1.706328750E-1,-4.127635360E-1,-5.096137524E-3,2.869013883E-2
1.806778750E-1,-4.930646122E-1,1.913815290E-1,8.506940678E-3
1.907218750E-1,-6.035208106E-1,4.271831214E-1,-1.392406598E-2
2.007658750E-1,-7.267233133E-1,7.667765021E-1,-6.831295323E-3
2.108108750E-1,-8.365401030E-1,1.097503662E0,5.706406012E-2
2.208548750E-1,-8.812662363E-1,1.105743051E0,1.159169003E-1
2.308998750E-1,-7.943753004E-1,1.032958031E0,1.443213671E-1
2.409438750E-1,-5.896726251E-1,1.017954350E0,1.394721568E-1
2.509888750E-1,-3.336888254E-1,9.787153602E-1,1.353141665E-1
2.610328750E-1,-1.024518386E-1,8.216233850E-1,1.416578740E-1
2.710778750E-1,7.168161124E-2,5.598828197E-1,1.227302551E-1
2.811218750E-1,1.876248717E-1,2.810679972E-1,8.519914746E-2
2.911668750E-1,2.517660260E-1,-2.191129141E-3,4.797321558E-2
3.012108750E-1,2.695060372E-1,-2.499417067E-1,-3.345590085E-4
3.112548750E-1,2.452139854E-1,-4.128659070E-1,-5.031330511E-2
3.212998750E-1,1.925701499E-1,-4.763450921E-1,-8.720752597E-2
3.313438750E-1,1.223308742E-1,-4.509843290E-1,-1.083226651E-1
3.413888750E-1,4.491873085E-2,-3.743529916E-1,-1.080861315E-1
3.514328750E-1,-3.419899195E-2,-2.757763267E-1,-9.015186876E-2
3.614778750E-1,-1.078836024E-1,-1.908494681E-1,-6.856428832E-2
3.715218750E-1,-1.696928740E-1,-1.362547129E-1,-5.011624098E-2
3.815668750E-1,-2.102192640E-1,-1.288184524E-1,-3.760631382E-2
3.916108750E-1,-2.257521451E-1,-1.621175557E-1,-3.459720686E-2
4.016548750E-1,-2.258501798E-1,-2.231497616E-1,-3.414040059E-2
4.116998750E-1,-1.968646049E-1,-2.846381664E-1,-3.919241577E-2
4.217438750E-1,-1.487627476E-1,-3.316045702E-1,-4.394172132E-2
4.317888750E-1,-8.108332008E-2,-3.507992923E-1,-5.160097033E-2
4.418328750E-1,-5.459254608E-3,-3.502800763E-1,-6.366626173E-2
4.518778750E-1,6.491611153E-2,-3.425044417E-1,-7.979729027E-2
4.619218750E-1,1.214806139E-1,-3.143189251E-1,-8.690334857E-2
4.719668750E-1,1.513855159E-1,-3.071734011E-1,-8.697365224E-2
4.820108750E-1,1.626258045E-1,-3.454246223E-1,-7.456368953E-2
4.920548750E-1,1.489456743E-1,-3.730125725E-1,-6.668339670E-2
5.020998750E-1,1.215337217E-1,-3.768765032E-1,-5.230039731E-2
5.121438750E-1,8.810625970E-2,-3.671511710E-1,-4.090259969E-2
5.221888750E-1,5.067535490E-2,-3.364443183E-1,-4.243080691E-2
5.322328750E-1,1.589766890E-2,-2.638556063E-1,-5.518388748E-2
5.422778750E-1,-1.414053887E-2,-1.842865944E-1,-7.148046792E-2
5.523218750E-1,-4.996298254E-2,-1.186804175E-1,-8.695130050E-2
5.623668750E-1,-8.937936276E-2,-7.213588804E-2,-8.403992653E-2
5.724108750E-1,-1.394129544E-1,-7.043252885E-2,-6.475038826E-2
5.824548750E-1,-2.013245970E-1,-1.142464578E-1,-3.325196728E-2
5.924998750E-1,-2.556264400E-1,-1.453393847E-1,1.298503485E-2
6.025438750E-1,-2.828265727E-1,-1.644929945E-1,6.619085371E-2
6.125888750E-1,-2.779660523E-1,-1.805180311E-1,1.022146344E-1
6.226328750E-1,-2.373973280E-1,-1.786485910E-1,1.048718020E-1
6.326778750E-1,-1.695916504E-1,-1.575896442E-1,9.350356460E-2
6.427218750E-1,-8.084614575E-2,-7.799864560E-2,7.825586200E-2
6.527668750E-1,3.651955165E-3,5.908198282E-2,5.837988853E-2
6.628108750E-1,6.695251912E-2,1.959366053E-1,3.722815961E-2
6.728548750E-1,9.198330343E-2,2.658797503E-1,5.080344155E-3
6.828998750E-1,6.750597805E-2,2.022983879E-1,-5.187403411E-2
6.929437500E-1,-3.564207116E-3,-3.288136423E-2,-1.317326576E-1
7.029887500E-1,-9.145683050E-2,-3.604057431E-1,-2.096396685E-1
7.130327500E-1,-1.489161253E-1,-6.497115493E-1,-2.425661981E-1
7.230777500E-1,-1.446807235E-1,-8.043702841E-1,-2.356677353E-1
7.331217500E-1,-9.138075262E-2,-8.008157611E-1,-2.132359296E-1
7.431667500E-1,-2.635195851E-2,-6.789166927E-1,-1.975262016E-1
7.532107500E-1,1.533503365E-2,-4.749259949E-1,-1.744203568E-1
7.632547500E-1,2.106290683E-2,-2.231197804E-1,-1.371378154E-1
7.732997500E-1,-1.411638502E-2,1.956689544E-2,-7.658791542E-2
7.833437500E-1,-7.238333672E-2,2.076781690E-1,-2.622834174E-3
7.933887500E-1,-1.247011349E-1,3.390487432E-1,7.129400223E-2
8.034327500E-1,-1.460636556E-1,3.959131539E-1,1.233837530E-1
8.134777500E-1,-1.296857446E-1,4.004943371E-1,1.463577747E-1
8.235217500E-1,-9.107283503E-2,3.678382933E-1,1.586838216E-1
8.335667500E-1,-5.664855614E-2,3.107001781E-1,1.796692759E-1
8.436107500E-1,-2.266142890E-2,2.466382980E-1,2.153904736E-1
8.536547500E-1,6.655714009E-3,1.585803330E-1,2.605814040E-1
8.636997500E-1,3.072047792E-2,3.143457323E-2,2.990084887E-1
8.737437500E-1,6.080008298E-2,-1.213512421E-1,3.164974749E-1
8.837887500E-1,9.711951017E-2,-2.792787850E-1,3.128182590E-1
8.938327500E-1,1.358013898E-1,-3.971212804E-1,2.855829000E-1
9.038777500E-1,1.604142636E-1,-4.452584982E-1,2.475275248E-1
9.139217500E-1,1.605817676E-1,-4.327786863E-1,2.112875134E-1
9.239667500E-1,1.343833655E-1,-3.725007474E-1,1.950236708E-1
9.340107500E-1,8.371432126E-2,-2.566023767E-1,1.953120977E-1
9.440547500E-1,2.797433920E-2,-1.061016470E-1,1.996579170E-1
9.540997500E-1,-3.371006623E-2,4.138634354E-2,2.103853971E-1
9.641437500E-1,-9.137542546E-2,1.596050858E-1,2.142080814E-1
9.741887500E-1,-1.378182918E-1,2.467466444E-1,2.086194456E-1
9.842327500E-1,-1.511486024E-1,2.967793643E-1,2.067577839E-1
9.942777500E-1,-1.301615685E-1,3.207941353E-1,2.060872018E-1
1.004321750E0,-7.006254047E-2,3.311919272E-1,2.055492401E-1
1.014366750E0,1.299853995E-2,3.216778338E-1,2.012744695E-1
1.024410750E0,9.459415078E-2,2.786450982E-1,1.961505860E-1
1.034454750E0,1.645559222E-1,2.221461385E-1,1.880164891E-1
1.044499750E0,2.137882411E-1,1.696231067E-1,1.793311089E-1
1.054543750E0,2.408246398E-1,1.168768033E-1,1.931467950E-1
1.064588750E0,2.525558472E-1,5.724729225E-2,2.305816710E-1
1.074632750E0,2.574669719E-1,6.000617519E-3,2.845194638E-1
1.084677750E0,2.614859939E-1,-6.424920261E-2,3.507573307E-1
1.094721750E0,2.478258461E-1,-1.297203600E-1,4.084238112E-1
1.104766750E0,2.049597502E-1,-2.264728993E-1,4.537461996E-1
1.114810750E0,1.644759774E-1,-2.849969268E-1,4.461593926E-1
1.124854750E0,1.252545863E-1,-2.265763581E-1,3.978244662E-1
1.134899750E0,9.944136441E-2,-1.562222987E-1,3.315508962E-1
1.144943750E0,8.465679735E-2,-7.783395797E-2,2.560986876E-1
1.154988750E0,6.656195223E-2,6.593306549E-3,1.848487407E-1
1.165032750E0,4.518304020E-2,5.012170598E-2,1.479731798E-1
