"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
-1.221249695E-4,5.890586478E-1,2.057445509E-1,-1.709671421E-1,-7.625282380E-1,1.078195292E2,3.041979068E1,6.450956992E0,-1.028717009E2
9.921875026E-3,5.890518095E-1,2.044002917E-1,-1.711785783E-1,-7.628475530E-1,1.078204989E2,3.033442593E1,6.326062091E0,-1.029346732E2
1.996587502E-2,5.890173334E-1,2.031695154E-1,-1.716311973E-1,-7.631011928E-1,1.078253877E2,3.028011564E1,6.193714776E0,-1.029954713E2
3.001087502E-2,5.889745333E-1,2.021081063E-1,-1.722353552E-1,-7.632799586E-1,1.078314566E2,3.025305947E1,6.064366954E0,-1.030491116E2
4.005487502E-2,5.889492294E-1,2.011364437E-1,-1.729235804E-1,-7.634005144E-1,1.078350445E2,3.024099803E1,5.935504813E0,-1.030958371E2
5.009987502E-2,5.889823884E-1,2.001133329E-1,-1.736521268E-1,-7.634784545E-1,1.078303428E2,3.022922220E1,5.797238550E0,-1.031364678E2
6.014387502E-2,5.891154671E-1,1.988767536E-1,-1.743660009E-1,-7.635362167E-1,1.078114717E2,3.020042119E1,5.638740050E0,-1.031725723E2
7.018887502E-2,5.893465214E-1,1.972600373E-1,-1.749982511E-1,-7.636326435E-1,1.077787018E2,3.013561208E1,5.451272990E0,-1.032118400E2
8.023287501E-2,5.896699879E-1,1.951800627E-1,-1.754865078E-1,-7.638053296E-1,1.077328139E2,3.002275371E1,5.232697191E0,-1.032584514E2
9.027787502E-2,5.900872417E-1,1.926510911E-1,-1.757696424E-1,-7.640600652E-1,1.076736012E2,2.985751157E1,4.988463858E0,-1.033110575E2
1.003218750E-1,5.906063065E-1,1.897971107E-1,-1.758042095E-1,-7.643651399E-1,1.075999093E2,2.964559123E1,4.731500819E0,-1.033624292E2
1.103668750E-1,5.911993337E-1,1.868112620E-1,-1.755955378E-1,-7.646901553E-1,1.075156744E2,2.940215959E1,4.478300852E0,-1.034076393E2
1.204108750E-1,5.918227383E-1,1.839173872E-1,-1.751852682E-1,-7.650035066E-1,1.074270756E2,2.914781807E1,4.245929521E0,-1.034430375E2
1.304548750E-1,5.924326295E-1,1.813320054E-1,-1.746261158E-1,-7.652764232E-1,1.073403487E2,2.890348130E1,4.050161584E0,-1.034658717E2
1.404998750E-1,5.929874453E-1,1.791176281E-1,-1.739404949E-1,-7.655242520E-1,1.072614115E2,2.867556458E1,3.896176768E0,-1.034798937E2
1.505438750E-1,5.934510870E-1,1.771725446E-1,-1.731814155E-1,-7.657896665E-1,1.071954156E2,2.846100178E1,3.773041279E0,-1.034947961E2
1.605888750E-1,5.938573826E-1,1.754003664E-1,-1.723015454E-1,-7.660810698E-1,1.071375594E2,2.824824928E1,3.674990346E0,-1.035100825E2
1.706328750E-1,5.942798100E-1,1.739106553E-1,-1.710574855E-1,-7.663720200E-1,1.070773832E2,2.802334040E1,3.626292634E0,-1.035115412E2
1.806778750E-1,5.948209913E-1,1.728991042E-1,-1.690664529E-1,-7.666227780E-1,1.070002559E2,2.776605806E1,3.667613951E0,-1.034776011E2
1.907218750E-1,5.955387153E-1,1.724494072E-1,-1.660352838E-1,-7.668292501E-1,1.068979092E2,2.745613112E1,3.825479656E0,-1.033975261E2
2.007658750E-1,5.965363470E-1,1.727247049E-1,-1.617079882E-1,-7.669166469E-1,1.067555351E2,2.708346052E1,4.128955914E0,-1.032509272E2
2.108108750E-1,5.980692384E-1,1.740199536E-1,-1.558658110E-1,-7.666395630E-1,1.065365164E2,2.665321737E1,4.610642341E0,-1.029904196E2
2.208548750E-1,6.004374329E-1,1.757271492E-1,-1.491550258E-1,-7.657333583E-1,1.061975342E2,2.618322242E1,5.163823319E0,-1.025959750E2
2.308998750E-1,6.024835465E-1,1.771728967E-1,-1.427927009E-1,-7.650055981E-1,1.059040472E2,2.572773117E1,5.682510785E0,-1.022565785E2
2.409438750E-1,6.043727579E-1,1.788824427E-1,-1.371397693E-1,-7.641514290E-1,1.056325610E2,2.535984629E1,6.178106390E0,-1.019272609E2
2.509888750E-1,6.059902486E-1,1.812384634E-1,-1.324397727E-1,-7.631436347E-1,1.053997337E2,2.512982901E1,6.667510247E0,-1.016081871E2
2.610328750E-1,6.073163360E-1,1.839703589E-1,-1.289738899E-1,-7.620285344E-1,1.052085830E2,2.504134782E1,7.107156674E0,-1.013119482E2
2.710778750E-1,6.082829213E-1,1.865044118E-1,-1.269411526E-1,-7.609822916E-1,1.050690994E2,2.506574215E1,7.436126117E0,-1.010713472E2
2.811218750E-1,6.088256673E-1,1.884540223E-1,-1.262635762E-1,-7.601802581E-1,1.049907212E2,2.516344887E1,7.629865381E0,-1.009124643E2
2.911668750E-1,6.089570601E-1,1.896234762E-1,-1.267513996E-1,-7.597027554E-1,1.049717405E2,2.530085460E1,7.685918874E0,-1.008429985E2
3.012108750E-1,6.087154902E-1,1.899133912E-1,-1.281798748E-1,-7.595843070E-1,1.050066352E2,2.544978212E1,7.611787596E0,-1.008627745E2
3.112548750E-1,6.081503273E-1,1.894391522E-1,-1.301792608E-1,-7.598154139E-1,1.050882412E2,2.558682253E1,7.443037822E0,-1.009606175E2
3.212998750E-1,6.073770169E-1,1.884385518E-1,-1.323295640E-1,-7.603111452E-1,1.051998302E2,2.569459165E1,7.226725544E0,-1.011103403E2
3.313438750E-1,6.065365192E-1,1.871943241E-1,-1.342677395E-1,-7.609493380E-1,1.053210202E2,2.576429632E1,7.008363193E0,-1.012800645E2
3.413888750E-1,6.057534465E-1,1.859434399E-1,-1.357454581E-1,-7.616173498E-1,1.054338423E2,2.579320455E1,6.821637082E0,-1.014422428E2
3.514328750E-1,6.051414796E-1,1.847908501E-1,-1.366607401E-1,-7.622203816E-1,1.055219534E2,2.578096992E1,6.678874608E0,-1.015763758E2
3.614778750E-1,6.047443720E-1,1.837418440E-1,-1.370199076E-1,-7.627246265E-1,1.055791014E2,2.572860359E1,6.578525330E0,-1.016761169E2
3.715218750E-1,6.045374836E-1,1.827473311E-1,-1.369202883E-1,-7.631451994E-1,1.056088662E2,2.564065995E1,6.510114226E0,-1.017468724E2
3.815668750E-1,6.044532848E-1,1.817027241E-1,-1.365372762E-1,-7.635298210E-1,1.056209782E2,2.552426019E1,6.454265237E0,-1.018023873E2
3.916108750E-1,6.044169278E-1,1.805182949E-1,-1.360941837E-1,-7.639186098E-1,1.056262078E2,2.539206587E1,6.389528836E0,-1.018565940E2
4.016548750E-1,6.043624161E-1,1.791188036E-1,-1.357726085E-1,-7.643483971E-1,1.056340485E2,2.525423924E1,6.298403625E0,-1.019215483E2
4.116998750E-1,6.042334573E-1,1.775219675E-1,-1.356976477E-1,-7.648359413E-1,1.056525956E2,2.512316869E1,6.174923886E0,-1.020041434E2
4.217438750E-1,6.040153316E-1,1.758305631E-1,-1.359353441E-1,-7.653565128E-1,1.056839617E2,2.501281413E1,6.023252799E0,-1.021021624E2
4.317888750E-1,6.037028338E-1,1.741908557E-1,-1.364892643E-1,-7.658793234E-1,1.057288871E2,2.493484425E1,5.855528202E0,-1.022105329E2
4.418328750E-1,6.032791842E-1,1.727449752E-1,-1.373376079E-1,-7.663888682E-1,1.057897706E2,2.489813146E1,5.685838954E0,-1.023262086E2
4.518778750E-1,6.027370440E-1,1.715478493E-1,-1.384440549E-1,-7.668850683E-1,1.058676470E2,2.490353923E1,5.521786858E0,-1.024483348E2
4.619218750E-1,6.021012377E-1,1.706266891E-1,-1.397378354E-1,-7.673551532E-1,1.059589272E2,2.494685505E1,5.370164907E0,-1.025726061E2
4.719668750E-1,6.014291957E-1,1.699217185E-1,-1.411199162E-1,-7.677856095E-1,1.060553501E2,2.501483160E1,5.231473678E0,-1.026934363E2
4.820108750E-1,6.007487717E-1,1.692035112E-1,-1.426452357E-1,-7.681949450E-1,1.061529134E2,2.509518367E1,5.081613840E0,-1.028156057E2
4.920548750E-1,6.000823668E-1,1.683380348E-1,-1.442775739E-1,-7.686008824E-1,1.062484061E2,2.517464888E1,4.911256601E0,-1.029410794E2
