"Time (s)","X (µT)","Y (µT)","Z (µT)"
3.948166675E-3,-2.697423553E1,-1.440002441E1,-2.789367676E1
1.399316668E-2,-2.696783447E1,-1.433746338E1,-2.800183105E1
2.403716667E-2,-2.705837250E1,-1.438702393E1,-2.802154541E1
3.408116667E-2,-2.706010437E1,-1.433789062E1,-2.813006592E1
4.412516666E-2,-2.710292053E1,-1.432492065E1,-2.799298096E1
5.417016667E-2,-2.723738861E1,-1.428588867E1,-2.778588867E1
6.421416666E-2,-2.729060364E1,-1.425427246E1,-2.786657715E1
7.425816666E-2,-2.747960663E1,-1.420568848E1,-2.776672363E1
8.430316666E-2,-2.751407623E1,-1.391607666E1,-2.775238037E1
9.434716665E-2,-2.762699127E1,-1.376129150E1,-2.750811768E1
1.043911666E-1,-2.767900848E1,-1.368847656E1,-2.761779785E1
1.144351666E-1,-2.780363464E1,-1.358590698E1,-2.754919434E1
1.244801666E-1,-2.784424591E1,-1.341311646E1,-2.776824951E1
1.345241666E-1,-2.805854797E1,-1.326159668E1,-2.761218262E1
1.445681666E-1,-2.800028992E1,-1.319711304E1,-2.731506348E1
1.546121667E-1,-2.815392303E1,-1.317114258E1,-2.742987061E1
1.646571667E-1,-2.827138519E1,-1.298101807E1,-2.736492920E1
1.747011667E-1,-2.827138519E1,-1.298101807E1,-2.736492920E1
1.847451667E-1,-2.842053223E1,-1.297497559E1,-2.734796143E1
1.947901667E-1,-2.865476990E1,-1.296966553E1,-2.723382568E1
2.048341667E-1,-2.874655914E1,-1.291931152E1,-2.731469727E1
2.148781667E-1,-2.878817749E1,-1.288305664E1,-2.711682129E1
2.249221667E-1,-2.890317535E1,-1.295690918E1,-2.693267822E1
2.349671667E-1,-2.892939758E1,-1.293148804E1,-2.696514893E1
2.450111667E-1,-2.891636658E1,-1.287515259E1,-2.677941895E1
2.550551667E-1,-2.895173645E1,-1.282012939E1,-2.684259033E1
2.651001667E-1,-2.912248230E1,-1.286788940E1,-2.680505371E1
2.751441667E-1,-2.907757568E1,-1.258773804E1,-2.643890381E1
2.851881667E-1,-2.899949646E1,-1.267233276E1,-2.665545654E1
2.952321667E-1,-2.908607483E1,-1.246755981E1,-2.637976074E1
3.052771667E-1,-2.893573761E1,-1.273956299E1,-2.636511230E1
3.153211667E-1,-2.902402496E1,-1.273828125E1,-2.655627441E1
3.253651666E-1,-2.902607727E1,-1.260241699E1,-2.655261230E1
3.354091666E-1,-2.891944122E1,-1.266903687E1,-2.669641113E1
3.454541666E-1,-2.895932770E1,-1.280560303E1,-2.662103271E1
3.554981666E-1,-2.892832947E1,-1.284301758E1,-2.636120605E1
3.655421667E-1,-2.899562836E1,-1.272265625E1,-2.651635742E1
3.755871666E-1,-2.908032227E1,-1.271826172E1,-2.642071533E1
3.856311667E-1,-2.918217468E1,-1.275271606E1,-2.615832520E1
3.956751667E-1,-2.926556396E1,-1.278448486E1,-2.639306641E1
4.057191667E-1,-2.932116699E1,-1.289590454E1,-2.623352051E1
4.157641667E-1,-2.925717926E1,-1.299810791E1,-2.612524414E1
4.258081667E-1,-2.932505798E1,-1.306146240E1,-2.608819580E1
4.358521667E-1,-2.929340363E1,-1.292199707E1,-2.599444580E1
4.458961667E-1,-2.964070892E1,-1.289767456E1,-2.587951660E1
4.559411667E-1,-2.957751465E1,-1.279949951E1,-2.577130127E1
4.659851667E-1,-2.972401428E1,-1.263854980E1,-2.556610107E1
4.760291667E-1,-2.983302307E1,-1.270584106E1,-2.560168457E1
4.860741667E-1,-2.967436981E1,-1.261404419E1,-2.543695068E1
4.961181667E-1,-2.990483093E1,-1.256814575E1,-2.556304932E1
5.061621667E-1,-2.997958374E1,-1.264120483E1,-2.558123779E1
5.162061666E-1,-3.006579590E1,-1.249673462E1,-2.562725830E1
5.262506250E-1,-3.011169434E1,-1.242922974E1,-2.553894043E1
5.362946250E-1,-3.003704834E1,-1.248535156E1,-2.534326172E1
5.463386250E-1,-3.010409546E1,-1.238378906E1,-2.531878662E1
5.563836250E-1,-3.019058228E1,-1.222833252E1,-2.530474854E1
5.664276250E-1,-3.021247101E1,-1.227035522E1,-2.524694824E1
5.764716250E-1,-3.023143005E1,-1.220611572E1,-2.516186523E1
5.865156250E-1,-3.024465942E1,-1.223254395E1,-2.514428711E1
5.965606250E-1,-3.030783844E1,-1.215673828E1,-2.517620850E1
6.066046250E-1,-3.048462677E1,-1.202554321E1,-2.492645264E1
6.166486250E-1,-3.051284027E1,-1.202789307E1,-2.503466797E1
6.266926250E-1,-3.038945007E1,-1.201898193E1,-2.505883789E1
6.367376250E-1,-3.035514832E1,-1.200451660E1,-2.507794189E1
6.467816250E-1,-3.029561615E1,-1.190960693E1,-2.491632080E1
6.568256250E-1,-3.041867065E1,-1.194982910E1,-2.499963379E1
6.668706250E-1,-3.046475983E1,-1.189147949E1,-2.495867920E1
6.769146250E-1,-3.041169739E1,-1.179684448E1,-2.491058350E1
6.869586250E-1,-3.033126068E1,-1.167144775E1,-2.511126709E1
6.970026250E-1,-3.030551147E1,-1.168115234E1,-2.515704346E1
7.070476250E-1,-3.027066040E1,-1.158953857E1,-2.517687988E1
7.170916250E-1,-3.025041962E1,-1.164151001E1,-2.510516357E1
7.271356250E-1,-3.037818909E1,-1.165710449E1,-2.497363281E1
7.371806250E-1,-3.028051758E1,-1.165744019E1,-2.518450928E1
7.472246250E-1,-3.028404999E1,-1.151272583E1,-2.485534668E1
7.572686250E-1,-3.031836700E1,-1.171240234E1,-2.494018555E1
7.673126250E-1,-3.031401062E1,-1.158843994E1,-2.493627930E1
7.773576250E-1,-3.029977417E1,-1.154510498E1,-2.502807617E1
7.874016250E-1,-3.028257751E1,-1.146466064E1,-2.501232910E1
7.974456250E-1,-3.040882874E1,-1.134280396E1,-2.490130615E1
8.074896250E-1,-3.039406586E1,-1.143612671E1,-2.485473633E1
8.175346250E-1,-3.024246216E1,-1.156872559E1,-2.475939941E1
8.275786250E-1,-3.031816864E1,-1.151107788E1,-2.470227051E1
8.376226250E-1,-3.034503174E1,-1.159671021E1,-2.471081543E1
8.476676250E-1,-3.031805420E1,-1.160220337E1,-2.452630615E1
8.577116250E-1,-3.027426147E1,-1.184173584E1,-2.462500000E1
