"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-5.481666885E-4,-6.236032104E-1,5.018014984E0,8.665480042E0
9.495833365E-3,-5.647755432E-1,5.034181366E0,8.572673035E0
1.954083331E-2,-5.906716919E-1,5.073549500E0,8.461903381E0
2.958483336E-2,-6.198609924E-1,5.090314636E0,8.447533264E0
3.962883336E-2,-6.592291260E-1,5.052742767E0,8.552315369E0
4.967383336E-2,-6.994953918E-1,4.970264282E0,8.565937042E0
5.971783336E-2,-7.319778442E-1,4.916975098E0,8.430319061E0
6.976283336E-2,-7.894583130E-1,4.975952454E0,8.325836334E0
7.980683335E-2,-8.033793640E-1,5.061125336E0,8.238867188E0
8.985083335E-2,-7.701484680E-1,5.086123352E0,8.169112244E0
9.989583335E-2,-7.756869507E-1,5.125940552E0,8.074958038E0
1.099398333E-1,-7.822732544E-1,5.091512146E0,7.918233948E0
1.199848333E-1,-7.887098694E-1,5.056934052E0,7.772287445E0
1.300288333E-1,-8.316705322E-1,5.053940277E0,7.711214447E0
1.400728333E-1,-8.270301819E-1,5.034630432E0,7.860154724E0
1.501178333E-1,-7.694000244E-1,4.960684204E0,8.121211853E0
1.601618333E-1,-7.056326294E-1,4.901557159E0,8.281229095E0
1.702068333E-1,-7.053332520E-1,4.871320038E0,8.311615906E0
1.802508333E-1,-6.340814209E-1,4.840035095E0,8.329129486E0
1.902948333E-1,-5.983058167E-1,4.784350891E0,8.354726257E0
2.003398333E-1,-5.225633240E-1,4.738695831E0,8.359815674E0
2.103838333E-1,-4.258644104E-1,4.700375519E0,8.312813416E0
2.204288333E-1,-4.074526978E-1,4.774621124E0,8.286168823E0
2.304728333E-1,-4.197271729E-1,4.879552917E0,8.301137695E0
2.405168333E-1,-3.391946411E-1,4.862937469E0,8.285270691E0
2.505618333E-1,-2.438429260E-1,4.812941437E0,8.308921509E0
2.606058333E-1,-2.541714478E-1,4.870721283E0,8.314310303E0
2.706498333E-1,-2.644999695E-1,4.953948212E0,8.190817108E0
2.806948333E-1,-2.056723022E-1,5.029541016E0,8.059091034E0
2.907388333E-1,-1.440005493E-1,5.048401794E0,7.964038696E0
3.007838333E-1,-9.999206543E-2,5.077291718E0,7.994874573E0
3.108278333E-1,-7.080276489E-2,5.090464325E0,8.084238739E0
3.208718334E-1,-1.871109009E-2,5.012925568E0,8.225395203E0
3.309168334E-1,9.520202637E-2,4.953499146E0,8.321195984E0
3.409608334E-1,1.556762695E-1,4.971761169E0,8.363258514E0
3.510058334E-1,1.661544800E-1,5.063220978E0,8.463999023E0
3.610498334E-1,2.019300842E-1,5.092110901E0,8.635093231E0
3.710938334E-1,2.707868958E-1,5.056185608E0,8.863069153E0
3.811388334E-1,3.149450684E-1,4.956642609E0,9.076674957E0
3.911828334E-1,3.884422302E-1,4.884193268E0,9.191635895E0
4.012278334E-1,4.285588074E-1,4.843328247E0,9.211993561E0
4.112718333E-1,4.487667847E-1,4.835544434E0,9.139693909E0
4.213158333E-1,3.716770935E-1,5.004692688E0,8.838669891E0
4.313608333E-1,1.853146362E-1,5.345384216E0,8.259673920E0
4.414048333E-1,3.607498169E-2,5.644312592E0,7.696095886E0
4.514488333E-1,8.981323242E-4,5.805377655E0,7.329957275E0
4.614938333E-1,6.436614990E-2,5.868097229E0,7.175029449E0
4.715378333E-1,9.265731812E-2,5.794899445E0,7.310497742E0
4.815828333E-1,1.013392639E-1,5.731132050E0,7.733667755E0
4.916268333E-1,6.945556641E-2,5.779032440E0,8.322243805E0
5.016708333E-1,4.026626587E-2,5.842350769E0,8.806786194E0
5.117158333E-1,-1.197509766E-2,5.861959991E0,8.942703552E0
5.217598333E-1,-1.206491089E-1,5.801336060E0,8.731941833E0
5.318048333E-1,-2.421963501E-1,5.699847107E0,8.237819366E0
5.418488333E-1,-3.770658875E-1,5.638774109E0,7.724836121E0
5.518928333E-1,-5.369334412E-1,5.665867767E0,7.361391907E0
