"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.473833309E-3,-9.407862276E-2,-1.055993512E-1,8.163955063E-3
1.451783336E-2,-8.536369354E-2,-1.249711886E-1,-8.155364543E-3
2.456283337E-2,-7.677964121E-2,-1.462964565E-1,-2.574301139E-2
3.460683336E-2,-6.718294322E-2,-1.483654678E-1,-3.486061096E-2
4.465183336E-2,-5.973029137E-2,-1.189335361E-1,-2.932034247E-2
5.469583336E-2,-6.755199283E-2,-9.070295841E-2,-1.998756081E-2
6.473983335E-2,-7.933285087E-2,-6.561395526E-2,-1.207888685E-2
7.478483336E-2,-9.002651274E-2,-5.080358312E-2,-9.320384823E-3
8.482883335E-2,-8.906963468E-2,-5.287791789E-2,-1.167861372E-2
9.487383335E-2,-8.646863699E-2,-6.485085934E-2,-1.986501738E-2
1.049178333E-1,-9.341460466E-2,-9.909071028E-2,-2.429004200E-2
1.149618333E-1,-1.184568405E-1,-1.407193840E-1,-2.033498138E-2
1.250068333E-1,-1.567900777E-1,-1.837998182E-1,-1.310872007E-2
1.350508333E-1,-1.847157180E-1,-2.294240147E-1,-5.546407774E-3
1.450958333E-1,-1.838323623E-1,-2.508184016E-1,-4.670010880E-3
1.551398333E-1,-1.655007601E-1,-2.489006668E-1,-8.034115657E-3
1.651838333E-1,-1.466136426E-1,-2.393198460E-1,-5.801864900E-3
1.752288333E-1,-1.380172372E-1,-2.243664712E-1,2.218511421E-3
1.852728333E-1,-1.272031963E-1,-2.182244509E-1,1.120565087E-2
1.953178333E-1,-1.192667112E-1,-2.110549510E-1,2.215923183E-2
2.053618333E-1,-1.218862459E-1,-1.995208561E-1,3.237319738E-2
2.154058333E-1,-1.303335279E-1,-1.793809682E-1,3.574209660E-2
2.254508333E-1,-1.269886941E-1,-1.642059833E-1,2.971792221E-2
2.354948333E-1,-1.065321416E-1,-1.782576293E-1,1.469662786E-2
2.455398333E-1,-6.804858148E-2,-2.015042156E-1,-1.051170658E-2
2.555838333E-1,-5.778016523E-3,-2.162173837E-1,-3.530253842E-2
2.656278333E-1,5.577039346E-2,-2.479103655E-1,-6.343953311E-2
2.756728333E-1,1.091646403E-1,-2.891395390E-1,-9.551784396E-2
2.857168333E-1,1.421043724E-1,-3.445779383E-1,-1.326901019E-1
2.957608333E-1,1.580412537E-1,-3.908381164E-1,-1.741789579E-1
3.058058333E-1,1.671122462E-1,-4.350781143E-1,-2.126395404E-1
3.158498334E-1,1.704579741E-1,-4.765081108E-1,-2.429010272E-1
3.258948333E-1,1.657461971E-1,-5.030552149E-1,-2.689300776E-1
3.359388334E-1,1.512538046E-1,-5.233887434E-1,-2.863458097E-1
3.459828334E-1,1.380986422E-1,-5.319496393E-1,-2.946313918E-1
3.560278334E-1,1.266326606E-1,-4.845483303E-1,-2.863093019E-1
3.660718334E-1,1.116969213E-1,-3.671500683E-1,-2.539965808E-1
3.761168334E-1,9.849909693E-2,-1.762677282E-1,-1.951631010E-1
3.861608334E-1,8.812412620E-2,4.444214702E-2,-1.311391890E-1
3.962048333E-1,1.039419696E-1,2.013156563E-1,-8.770089597E-2
4.062498334E-1,1.416517496E-1,3.113370240E-1,-8.015646785E-2
4.162938333E-1,1.737423092E-1,4.035079479E-1,-8.497998863E-2
4.263388333E-1,1.631678194E-1,4.210334420E-1,-9.197864681E-2
4.363828333E-1,1.021305621E-1,3.425668478E-1,-8.819083124E-2
4.464268333E-1,2.986761276E-3,1.880774200E-1,-9.179398417E-2
4.564718333E-1,-1.144250855E-1,-1.595614664E-2,-1.110260040E-1
4.665158333E-1,-2.303087860E-1,-2.338483036E-1,-1.353347898E-1
4.765598333E-1,-3.222645223E-1,-3.975466788E-1,-1.488474160E-1
4.866048333E-1,-3.704602420E-1,-4.564678967E-1,-1.515427232E-1
4.966488333E-1,-3.620885909E-1,-3.985734284E-1,-1.584901065E-1
5.066938333E-1,-3.197516203E-1,-2.680284679E-1,-1.761126369E-1
5.167378333E-1,-2.687001526E-1,-1.355420798E-1,-1.984797269E-1
5.267818333E-1,-2.346738428E-1,-4.658224806E-2,-2.133517116E-1
5.368268333E-1,-2.361843884E-1,3.128050594E-3,-2.041491568E-1
5.468708333E-1,-2.591024339E-1,1.027342305E-2,-1.729720086E-1
5.569158333E-1,-2.793557644E-1,-8.621172979E-3,-1.302109659E-1
5.669598333E-1,-2.734298110E-1,-5.418843776E-2,-8.881434798E-2
5.770038333E-1,-2.284386307E-1,-1.119199097E-1,-6.222960725E-2
5.870488333E-1,-1.567896008E-1,-1.559643000E-1,-4.851070791E-2
5.970928333E-1,-7.460019737E-2,-1.928046048E-1,-4.029512405E-2
6.071368334E-1,-5.669318140E-3,-2.015486062E-1,-3.274535388E-2
6.171818333E-1,4.570092633E-2,-1.811162978E-1,-2.683366649E-2
6.272258334E-1,7.632005215E-2,-1.450052559E-1,-1.878055558E-2
6.372708334E-1,8.105994761E-2,-1.036405116E-1,-1.167151332E-2
6.473148334E-1,5.412130803E-2,-8.341238648E-2,-8.610454388E-3
6.573588334E-1,6.333187339E-4,-8.098891377E-2,-4.238609225E-3
6.674038334E-1,-6.501251459E-2,-6.521470845E-2,1.922644209E-3
