"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.873416710E-3,-5.981561279E-1,4.843927002E0,8.540789337E0
1.191741670E-2,-6.298901367E-1,4.576433258E0,8.880582733E0
2.196141670E-2,-8.216413879E-1,4.474944305E0,9.050928497E0
3.200641670E-2,-9.506730652E-1,4.425547028E0,9.000333710E0
4.205041670E-2,-1.015039215E0,4.481231232E0,8.806786194E0
5.209441669E-2,-1.140029297E0,4.620741119E0,8.634344788E0
6.213941670E-2,-1.224004669E0,4.708758087E0,8.472680969E0
7.218341669E-2,-1.180744629E0,4.769531708E0,8.285270691E0
8.222841669E-2,-1.139280853E0,4.834945679E0,8.104895782E0
9.227241669E-2,-1.116079102E0,4.891677704E0,8.040080566E0
1.023164167E-1,-1.068029022E0,4.980293427E0,8.134234772E0
1.123614167E-1,-9.557624817E-1,4.994214478E0,8.213719482E0
1.224054167E-1,-8.644523621E-1,4.963528290E0,8.223898315E0
1.324494167E-1,-8.683442688E-1,4.937183075E0,8.240513763E0
1.424944167E-1,-9.422904968E-1,4.887785797E0,8.258925476E0
1.525384167E-1,-1.014141083E0,4.763244781E0,8.416847076E0
1.625824167E-1,-1.042282562E0,4.684807892E0,8.526419220E0
1.726274167E-1,-9.912387085E-1,4.669240265E0,8.524622955E0
1.826714167E-1,-9.138496399E-1,4.717440033E0,8.486452332E0
1.927154167E-1,-8.622070313E-1,4.778213654E0,8.429570618E0
2.027604167E-1,-7.683522034E-1,4.858147430E0,8.382418671E0
2.128044167E-1,-6.650669861E-1,4.945116577E0,8.267457733E0
2.228484167E-1,-6.032455444E-1,5.021607513E0,8.176746368E0
2.328934167E-1,-5.947132874E-1,5.066364441E0,8.217312012E0
2.429374167E-1,-5.975573730E-1,4.994813232E0,8.431815948E0
2.529814167E-1,-6.363267517E-1,4.859943695E0,8.676856384E0
2.630264167E-1,-6.758445740E-1,4.666845245E0,8.853938141E0
2.730704167E-1,-7.601193237E-1,4.543950806E0,8.983568573E0
2.831144167E-1,-8.893006897E-1,4.555476837E0,9.033714294E0
2.931594167E-1,-9.207353210E-1,4.595144348E0,8.960965576E0
3.032034167E-1,-8.822653198E-1,4.672084351E0,8.761879578E0
3.132474167E-1,-8.794212341E-1,4.783602448E0,8.459059296E0
3.232924167E-1,-8.440946960E-1,4.932692413E0,8.203989716E0
3.333364167E-1,-7.963439941E-1,5.063969421E0,8.098159790E0
3.433804167E-1,-7.144642639E-1,5.107828217E0,8.095166016E0
3.534254167E-1,-6.253994751E-1,5.064418488E0,8.128247223E0
3.634694167E-1,-5.963598633E-1,4.952002258E0,8.188422089E0
3.735134167E-1,-6.517446899E-1,4.898713074E0,8.369695129E0
3.835584167E-1,-6.975494385E-1,4.853656769E0,8.516090698E0
3.936024167E-1,-6.845265198E-1,4.784350891E0,8.522227936E0
4.036464167E-1,-6.236032104E-1,4.693190460E0,8.555907898E0
4.136914167E-1,-5.779481506E-1,4.659360809E0,8.629704437E0
4.237354167E-1,-5.445675659E-1,4.668791199E0,8.663983154E0
4.337804167E-1,-4.682263184E-1,4.638853455E0,8.673263855E0
4.438244167E-1,-3.887416077E-1,4.617447968E0,8.611442413E0
4.538684167E-1,-3.082090759E-1,4.605921936E0,8.452922058E0
4.639134167E-1,-2.637515259E-1,4.654121704E0,8.290060730E0
4.739574167E-1,-2.335144043E-1,4.718787231E0,8.221802673E0
4.840014167E-1,-1.700463867E-1,4.745132446E0,8.220455475E0
4.940464167E-1,-1.001417542E-1,4.723726959E0,8.269852753E0
5.040904167E-1,-2.484832764E-2,4.713697815E0,8.419391785E0
5.141344167E-1,3.218307495E-2,4.661306763E0,8.597970428E0
5.241794167E-1,9.924362183E-2,4.564458160E0,8.718469849E0
5.342234167E-1,1.258882141E-1,4.480632477E0,8.777447205E0
5.442674167E-1,1.362167358E-1,4.473447418E0,8.796008606E0
5.543124167E-1,1.709445190E-1,4.500391388E0,8.786278839E0
5.643564167E-1,2.026785278E-1,4.591701508E0,8.720864868E0
5.744004167E-1,2.130070496E-1,4.736450500E0,8.567134552E0
5.844454167E-1,2.255809021E-1,4.887935486E0,8.431516571E0
5.944894167E-1,2.510279846E-1,5.029990082E0,8.416398010E0
6.045334167E-1,3.118016052E-1,5.123994598E0,8.461154938E0
6.145784167E-1,3.531156921E-1,5.118007050E0,8.424331512E0
6.246224167E-1,3.032693481E-1,5.140909424E0,8.353977814E0
6.346664167E-1,2.115101624E-1,5.153632965E0,8.324938202E0
6.447114167E-1,1.790277100E-1,5.143005066E0,8.342601471E0
6.547554167E-1,1.766326904E-1,5.103038177E0,8.375532990E0
6.647994167E-1,2.023791504E-1,5.120102692E0,8.425229645E0
6.748444167E-1,2.261796570E-1,5.178481293E0,8.423583069E0
6.848884167E-1,2.377056885E-1,5.278623047E0,8.423882446E0
6.949324167E-1,2.677931213E-1,5.348078613E0,8.457113342E0
7.049774167E-1,3.635939026E-1,5.370980988E0,8.498427429E0
7.150214167E-1,4.282594299E-1,5.420977020E0,8.551267548E0
7.250654167E-1,4.858895874E-1,5.453459473E0,8.582552490E0
7.351104167E-1,5.126838684E-1,5.472020874E0,8.595276031E0
7.451544167E-1,4.441264343E-1,5.445076904E0,8.675958252E0
7.551984167E-1,3.576063538E-1,5.390440521E0,8.747509460E0
7.652434167E-1,3.137475586E-1,5.262306976E0,8.735684052E0
7.752874167E-1,2.263293457E-1,5.173242188E0,8.673413544E0
7.853324167E-1,1.634600830E-1,5.129233704E0,8.573720856E0
7.953764167E-1,1.184037781E-1,5.162015533E0,8.390052795E0
