"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
6.895416707E-3,-1.971730590E-1,-2.410774827E-1,-2.431731224E-1
1.693941670E-2,-1.301489770E-1,-1.620363146E-1,-2.017748654E-1
2.698441671E-2,-7.283775508E-2,-8.853439987E-2,-1.397311985E-1
3.702841670E-2,-4.183268547E-2,-3.444278985E-2,-7.426010817E-2
4.707241670E-2,-2.164486051E-2,-9.059667587E-3,-1.727698557E-2
5.711741670E-2,-4.963971209E-3,-2.865235135E-2,2.441878803E-2
6.716141669E-2,-5.443872884E-3,-6.307024509E-2,4.628946632E-2
7.720541669E-2,-3.164174780E-2,-1.043653414E-1,5.229783803E-2
8.725041669E-2,-7.743719220E-2,-1.404389292E-1,5.079155415E-2
9.729441669E-2,-1.155009791E-1,-1.638040990E-1,5.211843923E-2
1.073384167E-1,-1.334405541E-1,-1.819761842E-1,4.045272619E-2
1.173834167E-1,-1.432640553E-1,-1.964579076E-1,1.645808667E-2
1.274274167E-1,-1.575290114E-1,-2.003881931E-1,-8.035806008E-3
1.374714167E-1,-1.741925627E-1,-1.980746686E-1,-2.044769377E-2
1.475164167E-1,-1.857687831E-1,-1.721533239E-1,-8.671461605E-3
1.575604167E-1,-1.886466146E-1,-1.285504252E-1,2.188336849E-2
1.676044167E-1,-1.778938472E-1,-1.025577113E-1,4.582279176E-2
1.776494167E-1,-1.577688754E-1,-9.335447103E-2,6.056343764E-2
1.876934167E-1,-1.296072751E-1,-1.022861749E-1,6.017354876E-2
1.977374167E-1,-1.005328149E-1,-1.244323552E-1,5.282791331E-2
2.077824167E-1,-7.566928118E-2,-1.671470553E-1,2.716862224E-2
2.178264167E-1,-7.081950456E-2,-2.253697962E-1,-9.290691465E-3
2.278704167E-1,-8.001513779E-2,-2.749429345E-1,-4.496053606E-2
2.379154167E-1,-9.944458306E-2,-2.860614359E-1,-7.353280485E-2
2.479594167E-1,-1.143431067E-1,-2.539029717E-1,-8.861694485E-2
2.580044167E-1,-1.173359379E-1,-2.032344192E-1,-8.578108996E-2
2.680484167E-1,-1.051711515E-1,-1.327655911E-1,-6.826282293E-2
2.780924167E-1,-7.475031912E-2,-7.352232188E-2,-3.865583986E-2
2.881374167E-1,-3.235652670E-2,-2.408366650E-2,-1.976656262E-3
2.981814167E-1,1.017219014E-2,5.172798410E-3,3.020983934E-2
3.082254167E-1,3.513133898E-2,-9.419993497E-3,4.835049435E-2
3.182704167E-1,4.006280005E-2,-5.492455140E-2,4.965411872E-2
3.283144167E-1,3.110898472E-2,-1.053267419E-1,3.743926436E-2
3.383584167E-1,9.234082885E-3,-1.446832716E-1,1.268336829E-2
3.484034167E-1,-2.550072968E-2,-1.606992483E-1,-1.881783083E-2
3.584474167E-1,-6.695791334E-2,-1.650101990E-1,-4.576113448E-2
3.684914167E-1,-1.011283994E-1,-1.534659266E-1,-6.301149726E-2
3.785364167E-1,-1.144910529E-1,-1.328665614E-1,-6.876727939E-2
3.885804167E-1,-1.185843349E-1,-1.272278428E-1,-7.317561656E-2
3.986244167E-1,-1.164623722E-1,-1.263527721E-1,-7.017610222E-2
4.086694167E-1,-1.007579789E-1,-1.259924471E-1,-6.255146861E-2
4.187134167E-1,-6.590928882E-2,-1.291755140E-1,-5.450088903E-2
4.287574167E-1,-2.225049213E-2,-1.402164549E-1,-4.123461619E-2
4.388024167E-1,1.548370719E-2,-1.531810910E-1,-3.246563673E-2
4.488464167E-1,3.630962595E-2,-1.714879274E-1,-2.436696365E-2
4.588904167E-1,2.787558921E-2,-2.014118731E-1,-2.744221874E-2
4.689354167E-1,-3.613360226E-3,-2.209887654E-1,-3.059939668E-2
4.789794167E-1,-4.507189617E-2,-2.402724773E-1,-3.811191022E-2
4.890234167E-1,-8.973710239E-2,-2.588847876E-1,-5.453988910E-2
4.990684167E-1,-1.167154014E-1,-2.759905457E-1,-7.252323627E-2
5.091124167E-1,-1.260758638E-1,-2.735127509E-1,-8.518364280E-2
5.191564167E-1,-1.199540943E-1,-2.521377802E-1,-8.927382529E-2
5.292014167E-1,-1.020725667E-1,-2.249474376E-1,-8.038473129E-2
5.392454167E-1,-7.596614957E-2,-2.006053030E-1,-6.269271672E-2
5.492894167E-1,-5.460147187E-2,-1.645615399E-1,-3.787365556E-2
5.593344167E-1,-3.647043183E-2,-1.316524148E-1,-1.809818856E-2
5.693784167E-1,-2.156605013E-2,-1.246973053E-1,-1.086051576E-2
5.794224167E-1,-2.136026882E-2,-1.406951398E-1,-2.059149370E-2
5.894674167E-1,-2.564582787E-2,-1.638795584E-1,-3.515765443E-2
5.995114167E-1,-2.401859127E-2,-1.693621874E-1,-5.363360047E-2
6.095564167E-1,-3.058008850E-2,-1.624020040E-1,-7.770431042E-2
6.196004167E-1,-3.924031556E-2,-1.622426957E-1,-1.000043973E-1
6.296444167E-1,-5.433617532E-2,-1.674741954E-1,-1.117332280E-1
6.396894167E-1,-6.843111664E-2,-1.757997125E-1,-1.109088287E-1
6.497334167E-1,-8.150749654E-2,-1.860947013E-1,-9.909690917E-2
6.597774167E-1,-9.036241472E-2,-1.902710944E-1,-8.545625955E-2
6.698224167E-1,-9.716572613E-2,-1.979793459E-1,-7.124030590E-2
6.798664167E-1,-1.031723171E-1,-2.181117535E-1,-6.155379117E-2
6.899104167E-1,-1.080818549E-1,-2.490220070E-1,-5.715531483E-2
6.999554167E-1,-1.150300875E-1,-2.705254555E-1,-5.925229192E-2
7.099994167E-1,-1.251253337E-1,-2.857946754E-1,-6.679969281E-2
7.200434167E-1,-1.369336098E-1,-2.891215980E-1,-8.167532086E-2
7.300884167E-1,-1.505578160E-1,-2.822514176E-1,-1.014381051E-1
7.401324167E-1,-1.550375223E-1,-2.505154610E-1,-1.120289192E-1
7.501764167E-1,-1.492129266E-1,-1.949722916E-1,-1.129588932E-1
7.602214167E-1,-1.308761835E-1,-1.226191744E-1,-1.066321582E-1
7.702654167E-1,-1.046962440E-1,-4.950688407E-2,-8.755832911E-2
7.803094167E-1,-6.593906879E-2,1.632206514E-2,-6.372607499E-2
7.903544167E-1,-2.556794696E-2,6.204694137E-2,-3.762975708E-2
8.003984167E-1,3.169092350E-3,8.273136616E-2,-1.525586937E-2
8.104424167E-1,2.164131030E-2,6.822112948E-2,-3.714621998E-4
8.204874167E-1,2.246565372E-2,3.145903349E-2,1.029419154E-2
8.305314167E-1,2.110451087E-2,-9.527015500E-4,1.826503314E-2
8.405754167E-1,2.010333352E-2,-2.135162801E-2,2.536186576E-2
8.506204167E-1,1.260014437E-2,-2.337403595E-2,2.632992342E-2
8.606644167E-1,6.981910672E-3,-8.596511558E-3,1.911798492E-2
8.707084167E-1,3.820738522E-3,3.170350567E-2,1.185288187E-2
8.807534167E-1,2.505669603E-3,8.002203703E-2,8.698899299E-3
8.907974167E-1,-7.782742614E-4,1.258403808E-1,7.461062633E-3
9.008424167E-1,-3.915175796E-3,1.459399909E-1,1.226252690E-2
9.108864167E-1,5.906264996E-4,1.438270360E-1,1.226678863E-2
9.209304167E-1,1.107759308E-2,1.303500235E-1,1.330319140E-2
9.309754167E-1,3.056900389E-2,1.102399677E-1,9.899404831E-3
9.410194167E-1,4.624115676E-2,9.057097882E-2,6.710097659E-3
9.510634167E-1,5.127533153E-2,7.217066735E-2,5.579052959E-3
9.611084167E-1,4.046027735E-2,6.011643633E-2,3.504721448E-3
