"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
6.895416707E-3,6.249829831E-1,1.968233578E-1,-1.660006536E-1,-7.369535672E-1,1.026381231E2,2.949678839E1,4.738270121E0,-9.815191189E1
1.693941670E-2,6.241457464E-1,1.957514567E-1,-1.658037238E-1,-7.379922657E-1,1.027609701E2,2.938853405E1,4.700933374E0,-9.832186412E1
2.698441671E-2,6.235070268E-1,1.951149471E-1,-1.656583250E-1,-7.387330651E-1,1.028546182E2,2.932103824E1,4.686142842E0,-9.844322172E1
3.702841670E-2,6.231146554E-1,1.948055708E-1,-1.655363705E-1,-7.391729781E-1,1.029121168E2,2.928324097E1,4.685929244E0,-9.851410153E1
4.707241670E-2,6.229593653E-1,1.946727226E-1,-1.654389283E-1,-7.393607212E-1,1.029348669E2,2.926307600E1,4.688775979E0,-9.854265853E1
5.711741670E-2,6.229755497E-1,1.945618317E-1,-1.654523758E-1,-7.393731124E-1,1.029324961E2,2.925549006E1,4.678355456E0,-9.854518022E1
6.716141669E-2,6.230808009E-1,1.943524843E-1,-1.656148980E-1,-7.393031802E-1,1.029170768E2,2.925380024E1,4.645352097E0,-9.853900798E1
7.720541669E-2,6.232183683E-1,1.939477284E-1,-1.658609710E-1,-7.392383584E-1,1.028969209E2,2.924410257E1,4.589255104E0,-9.853666829E1
8.725041669E-2,6.233603399E-1,1.932766201E-1,-1.660933306E-1,-7.392422148E-1,1.028761166E2,2.921193616E1,4.512953814E0,-9.854538565E1
9.729441669E-2,6.235206718E-1,1.923593295E-1,-1.662584685E-1,-7.393091387E-1,1.028526182E2,2.915426780E1,4.421596199E0,-9.856219274E1
1.073384167E-1,6.236726165E-1,1.912858954E-1,-1.663810276E-1,-7.394318230E-1,1.028303456E2,2.908038254E1,4.321400252E0,-9.858686269E1
1.173834167E-1,6.237550188E-1,1.901218732E-1,-1.664904935E-1,-7.396378736E-1,1.028182653E2,2.899786917E1,4.217575156E0,-9.862534347E1
1.274274167E-1,6.237442450E-1,1.889093216E-1,-1.665606548E-1,-7.399419052E-1,1.028198448E2,2.890767146E1,4.116308315E0,-9.867921412E1
1.374714167E-1,6.236762727E-1,1.876579764E-1,-1.665523150E-1,-7.403192354E-1,1.028298096E2,2.880727728E1,4.019970133E0,-9.874275914E1
1.475164167E-1,6.236291420E-1,1.864102426E-1,-1.664532041E-1,-7.406964602E-1,1.028367186E2,2.869934648E1,3.929943054E0,-9.880288981E1
1.575604167E-1,6.237003227E-1,1.852541407E-1,-1.662268683E-1,-7.409773742E-1,1.028262839E2,2.858800620E1,3.852419315E0,-9.884169738E1
1.676044167E-1,6.239036075E-1,1.842249621E-1,-1.659314347E-1,-7.411290502E-1,1.027964793E2,2.848122692E1,3.785334574E0,-9.885572272E1
1.776494167E-1,6.241771775E-1,1.832882872E-1,-1.656600122E-1,-7.411916435E-1,1.027563602E2,2.838426474E1,3.721174371E0,-9.885539052E1
1.876934167E-1,6.244561791E-1,1.824263052E-1,-1.654778272E-1,-7.412099458E-1,1.027154329E2,2.830121818E1,3.655950338E0,-9.885087831E1
1.977374167E-1,6.246824813E-1,1.815964535E-1,-1.654601269E-1,-7.412270838E-1,1.026822276E2,2.823518378E1,3.582651980E0,-9.885242637E1
2.077824167E-1,6.247941810E-1,1.807485274E-1,-1.656255058E-1,-7.413031904E-1,1.026658350E2,2.818361104E1,3.498087107E0,-9.887108458E1
2.178264167E-1,6.247293960E-1,1.797872131E-1,-1.659790836E-1,-7.415123705E-1,1.026753428E2,2.813925944E1,3.396469310E0,-9.891979300E1
2.278704167E-1,6.244806558E-1,1.786409419E-1,-1.664590131E-1,-7.418912601E-1,1.027118418E2,2.809108122E1,3.277010186E0,-9.900254707E1
2.379154167E-1,6.240985209E-1,1.773461832E-1,-1.669659840E-1,-7.424093608E-1,1.027678963E2,2.803342283E1,3.148296071E0,-9.911041683E1
2.479594167E-1,6.236621430E-1,1.760662278E-1,-1.673392131E-1,-7.429965402E-1,1.028318809E2,2.796508071E1,3.032759873E0,-9.922530022E1
2.580044167E-1,6.232436142E-1,1.749163532E-1,-1.675483491E-1,-7.435719395E-1,1.028932216E2,2.789255488E1,2.939354074E0,-9.933210060E1
2.680484167E-1,6.229096321E-1,1.740023118E-1,-1.675822589E-1,-7.440584932E-1,1.029421521E2,2.782321029E1,2.875081906E0,-9.941705653E1
2.780924167E-1,6.227003361E-1,1.733828200E-1,-1.675150100E-1,-7.443933025E-1,1.029728068E2,2.776825557E1,2.837685727E0,-9.947208926E1
2.881374167E-1,6.226335544E-1,1.730530252E-1,-1.674455477E-1,-7.445415119E-1,1.029825867E2,2.773615366E1,2.818707738E0,-9.949489536E1
2.981814167E-1,6.226930974E-1,1.729764789E-1,-1.674377370E-1,-7.445113032E-1,1.029738669E2,2.772970166E1,2.810983677E0,-9.948929440E1
3.082254167E-1,6.228216400E-1,1.730214597E-1,-1.675578455E-1,-7.443663233E-1,1.029550407E2,2.774439745E1,2.800896118E0,-9.946878355E1
3.182704167E-1,6.229482333E-1,1.729815138E-1,-1.678455305E-1,-7.442048324E-1,1.029364976E2,2.776750104E1,2.771285742E0,-9.945180672E1
3.283144167E-1,6.230139508E-1,1.727568441E-1,-1.682722311E-1,-7.441056503E-1,1.029268705E2,2.778850085E1,2.718374780E0,-9.945089675E1
3.383584167E-1,6.229836630E-1,1.723315067E-1,-1.687658675E-1,-7.441178992E-1,1.029313075E2,2.779961347E1,2.647615311E0,-9.947181246E1
3.484034167E-1,6.228496149E-1,1.717338510E-1,-1.692177583E-1,-7.442655186E-1,1.029509432E2,2.779332230E1,2.569817276E0,-9.951453848E1
3.584474167E-1,6.226242716E-1,1.710015128E-1,-1.695279537E-1,-7.445520592E-1,1.029839461E2,2.776367947E1,2.495138554E0,-9.957582506E1
3.684914167E-1,6.223561965E-1,1.701859309E-1,-1.696656457E-1,-7.449315705E-1,1.030231974E2,2.771208006E1,2.428281080E0,-9.964653056E1
3.785364167E-1,6.220792548E-1,1.693686172E-1,-1.696451644E-1,-7.453537502E-1,1.030637357E2,2.764622175E1,2.373502887E0,-9.971853295E1
3.885804167E-1,6.218003375E-1,1.685837450E-1,-1.695480926E-1,-7.457863349E-1,1.031045516E2,2.757607512E1,2.327122539E0,-9.978943890E1
